IDENT,PROBLEM,ACTION
101667,"failed override speed check, rpm dropped to 800 rpm and stabilized override speed check, rpm dropped to 800 rpm","adjusted idle speed, ran up aircraft, operations check good."
101668,"rocker cover gaskets number 2, and number 3 torn.",removed and replaced rocker cover gaskets.
101669,cylinder number 2 intake gasket leaking.,removed and replaced intake gasket.
101670,engine rpm was 1700.,"ran up aircraft, adjusted idle speed. operations check good."
101671,"right, hand baffle support rod for cylinder 1 and 3 broken.",removed and replaced rod.
101672,cylinder number 3 aft baffle has sheared rivet.,removed aft baffle and oil psi line. replaced rivet.
101673,number 2 and number 4 rocker cover gaskets leaking.,removed and replaced rocker cover gaskets and safetied bolt
101674,"baffle seal is torn, forward of number 2 cylinder on left-hand and right-hand engines.",removed and replaced number 2 baffles seals on both engines.
101675,number 3 cylinder right engine shows no egt.,"cleaned plugs number 3 cylinder, ran, checked ok."
101676,number 3 cylinder aft baffle on left-hand engine is cracked.,"fabricated and installed patch in accordance with, paragraph 4 and 53"
101677,number 4 intake gasket leaking.,removed and replaced number 4 intake gasket.
101678,number 2 rocker cover leaking.,removed and replaced number 2 rocker cover gasket.
101679,cylinder number 2 intake gasket leaking.,removed and replaced intake gasket.
101680,right-hand engine number 2 induction tube gasket leaking.,installed new number 2 induction tube gasket.
101681,"rocker covers numbers 2, 3 and 4 leaking on right-hand engine.",installed new rocker box cover gaskets.
101682,number 1 and number 4 rocker covers leaking on left-hand engine.,installed new number 1 and number 4 rocker box cover gaskets.
101683,number 2 intake leaking on left-hand engine.,installed new number 2 intake gasket.
101684,number 2 and number 4 rocker covers leaking on left-hand engine.,installed new rocker box cover gaskets.
101685,rocker covers number 2 and 4 leaking on right-hand engine.,installed new rocker box cover gaskets.
101686,number 3 cylinder on right-hand engine has low compression.,"borescoped cylinder, found exhaust valve to appear burned"
101687,number 3 cylinder on right-hand engine has low compression.,removed cylinder assembly. installed repaired cylinder assembly
101688,number 3 cylinder on right-hand engine has low compression.,"torqued base nuts to specs. reinstalled exhaust, intake"
101689,cylinder number 3 leaking intake tube at oil sump.,removed engine cowling.
101690,cylinder number 3 leaking intake tube at oil sump.,reswedged number 3 intake tube in accordance with lycoming overhaul manual.
101691,"rocker cover gaskets cylinder number 2, 3 and 4 leaking.","removed and replaced rocker cover gaskets, cleaned leaks."
101692,number 2 intake leaking.,removed and replaced number 2 intake gasket.
101693,number 4 intake leaking.,removed and replaced intake gasket.
101694,intake gasket number 4 leaking.,removed and replaced intake gasket number 4.
101695,fod on top of engine,removed fod
101696,number 1 intake is leaking.,removed and replaced gasket.
101697,baffle spark plug access plug worn.,replaced plugs.
101698,number 4 intake tube loose.,removed and replaced number 4 intake gasket.
101699,cylinder number 2 intake gasket leaking.,removed and replaced gasket.
101700,cylinder number 2 and number 4 rocker cover gaskets leaking.,removed and replaced gaskets.
101701,alternate air door is worn.,removed and replaced air filter box with serviceable 1.
101702,cylinder number 1 baffle is cracked.,"stop drilled crack, fabricated patch out of like material"
101703,number 4 intake is leaking.,removed and replaced gasket.
101704,cylinder number 2 and number 3 rocker cover gaskets leaking.,removed and replaced rocker cover gaskets.
101705,rocker cover gasket cylinder number 2 leaking.,removed and replaced rocker cover gasket.
101706,right-hand aft baffle is cracked by engine mount bolt hole.,stop drilled crack.
101707,center top baffle bracket is cracked.,fabricated baffle bracket out of like material and installed
101708,number 2 intake leaking.,removed and replaced gasket.
101709,all engine rocker cover screws loose.,tightened all screws.
101710,"starter would turn twice, then cut off during start up.","started aircraft, starter function normal."
101711,number 4 intake gasket is leaking.,replaced gasket.
101712,number 4 rocker gasket is leaking.,replaced gasket.
101713,worn baffle plugs.,removed and replaced baffle plugs.
101714,rocker cover gaskets cylinder number 2 and 4 leaking.,removed and replaced rocker cover gaskets.
101715,number 2 rocker cover gasket leaking.,removed and replaced number 2 rocker cover gasket.
101716,"during go, around from a simulated engine failure, engine ran rough","ran aircraft, magneto drop, idle and idle mixture rise check good."
101717,left-hand engine number 4 cylinder has bad exhaust valve.,operations check good on propeller governor.
101718,number 3 intake leaking on right-hand engine.,removed and replaced number 3 intake gasket on right-hand engine.
101719,number 1 and number 3 rocker covers leaking on left-hand engine.,removed and replaced rocker cover gaskets on left-hand engine.
101720,left-hand engine number 4 cylinder has bad exhaust valve.,"reconnected all connections, attached propeller governor cable 1"
101721,left-hand engine number 4 cylinder has bad exhaust valve.,"removed number 4 cylinder, installled serviceable cylinder assembly."
101722,"left-hand engine, first stage compressor rotor has 1","inspected, found to require repair. performed repair in accordance with reference manual"
101723,cylinder number 2 top baffle seal is loose.,resecured baffle seal.
101724,intake gasket cylinder number 3 leaking.,removed and replaced intake gasket.
101725,rocker cover gasket cylinder number 3 leaking.,removed and replaced rocker cover gasket.
101726,intake tube cylinder number 1 leaking around oil sump connection area.,removed engine cowling.
101727,intake tube cylinder number 1 leaking around oil sump connection area.,swedged intake tube in accordance with lycoming overhaul
101728,number 4 intake gasket leaking.,replaced gasket.
101729,number 3 and number 4 rocker gaskets leaking.,removed and replaced gaskets.
101730,engine overspeed to 2730 rpm for 1 second.,"removed sd card, downloaded data which indicated max rpm"
101731,number 2 rocker cover gasket is leaking.,replaced gasket with new.
101732,number 2 intake tube leaking at sump and cylinder.,removed and replaced intake gasket with new. tightened sump
101733,cylinder number 4 rocker cover gasket leaking.,removed and replaced cylinder number 4 rocker cover gasket.
101734,cylinder number 4 rocker cover gasket leaking.,removed and replaced cylinder number 4 rocker cover gasket.
101735,"cylinder number 2, and number 4 intake gaskets appear to be leaking.","removed and replaced cylinder number 2, and number 4 intake gaskets."
101736,number 4 intake is leaking.,removed and replaced gasket.
101737,number 3 and number 2 rocker covers are leaking.,removed and replaced number 2 and number 3 rocker cover gaskets.
101738,high pitched squealing noise heard during flight.,"ran up aircraft, no squealing noise noted. operations check good."
101739,low power available. helicopter required lmp to hover,inspected and found no defects. maintenance flight required
101740,cylinder number 4 and number 2 rocker cover gaskets leaking.,removed and replaced rocker cover gaskets.
101741,number 1 cylinder rocker oil return line is chafing.,leak check good.
101742,number 1 cylinder rocker oil return line is chafing.,removed and replaced oil line with new.
101743,number 2 and number 4 rocker cover gaskets leaking.,removed and replaced gaskets with new.
101744,baffle button plug is worn.,removed and replaced plug with new.
101745,number 3 rocker cover gasket is torn.,removed and replaced gasket with new.
101746,cylinder number 2 intake gasket leaking.,removed and replaced intake gasket.
101747,forward bottom engine baffle seal has holes in it.,removed and replaced baffle.
101748,cylinder number 3 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
101749,number 4 rocker cover gasket leaking.,removed and replaced number 4 rocker cover gasket.
101750,oil cooler lower baffle seal is missing.,applied high temperature silicone.
101751,number 2 rocker cover is leaking.,removed and replaced cylinder number 2 rocker cover gasket.
101752,"left,hand engine will not start.",started left-hand engine and performed magneto drop and run up procedured
101753,cylinder number 1 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
101754,number 2 intake leaking.,replaced gasket.
101755,number 1 and number 2 rocker covers leaking.,removed and replaced rocker cover gaskets.
101756,engine died after landing.,started aircraft using flooded start procedure. aircraft ran normal
101757,engine had momentary overspeed to 2770 rpm.,"per lycoming, no further action required as overrotations required"
101758,number 2 cylinder rocker cover screw is missing.,installed new screw.
101759,number 1 rocker cover gasket leaking.,installed new number 1 rocker box cover gasket.
101760,intake gasket cylinder number 2 leaking.,removed and replaced intake gasket.
101761,rocker cover gasket cylinder number 2 leaking.,removed and replaced rocker cover gasket.
101762,number 3 intake gasket leaking.,removed and replaced gasket.
101763,number 3 intake leaking.,removed and replaced number 3 intake gasket.
101764,"right, hand baffle safety wire broken.",secured with new safety wire and spiral wrap.
101765,"left,hand baffle button plug is broken.",installed new plug.
101766,number 2 intake leaking.,removed and replaced intake gasket.
101767,"cylinder number 1, 3, and 4 rocker covers are leaking.",removed and replaced rocker cover gaskets.
101768,case halves leaking on bottom forward portion.,"cleaned engine, ran aircraft, inspected and detected no leaks."
101769,number 1 intake is leaking.,removed and replaced gasket.
101770,"left,hand inboard baffle spring is broken.",installed new spring.
101771,rocker cover gasket cylinder number 2 leaking.,dressed propeller.
101772,"intake gasket, cylinder number 2, leaking.",removed and replaced intake gasket.
101773,cylinder number 4 intake gasket is leaking.,removed and replaced gasket with new.
101774,number 2 and number 4 intakes are leaking on left-hand engine.,replaced gaskets on 2 and 4 intakes.
101775,right-hand engine cylinder number 4 aft baffle bracket cracked.,stop drilled crack.
101776,right-hand engine cylinder number 3 intake gasket leaking.,removed and replaced cylinder number 3 intake gasket.
101777,"left-hand engine, cylinder number 2 rocker cover leaking.",removed and replaced left-hand engine cylinder number 2 rocker cover gasket.
101778,"left-hand engine rocker cover gaskets, cylinder 3, leaking.",removed and replaced left-hand engine rocker cover gasket.
101779,right-hand engine cylinder number 3 rocker cover gasket leaking.,removed and replaced right-hand engine cylinder number 3 rocker cover gasket.
101780,number 2 induction tube gasket leaking.,installed new induction tube gasket.
101781,particle separator has grass in it.,cleaned grass out of particle separator.
101782,cylinder number 4 intake is leaking.,installed new induction tube gasket.
101783,forward lower engine baffle cracked.,"removed engine baffle, stop drilled crack, fabricated patch with removed engine baffle, stop drilled crack, fabricated"
101784,right-hand engine side baffle cracked.,stop drilled crack.
101785,cylinder number 2 rocker cover gasket leaking.,removed and replaced cylinder number 2 rocker cover gasket.
101786,forward baffle near alternator is cracked.,stop drilled crack.
101787,both engine baffle buttons worn.,replaced and installed 2 buttons.
101788,all rocker cover screws loose and 1 missing.,replaced missing screw and tightened all screws.
101789,cylinder number 4 intake is leaking.,installed new induction tube gasket.
101790,"during cruise, engine became incredibly rough. engine continued",ran aircraft and cylinder leak and operations checked good.
101791,"during cruise, engine became incredibly rough. engine continued",removed number 2 cylinder. found number 2 exhaust valve and guide galled.
101792,"during cruise, engine became incredibly rough. engine continued",completed installation of number 2 cylinder. serviced engine with 8
101793,number 3 intake leaking.,replaced intake gasket.
101794,both baffle plugs worn.,removed and replaced plugs.
101795,right-hand aft baffle cracked.,"disconnected oil pressure line, displaced oil cooler. fahrenheit"
101796,rocker cover gasket cylinder number 1 leaking.,removed and replaced rocker cover gasket.
101797,number 4 rocker cover gasket leaking.,removed and replaced number 4 rocker cover gasket.
101798,number 4 rocker cover gasket leaking.,replaced gasket.
101799,screw missing on number 4 rocker cover.,installed new screw.
101800,number 4 intake leaking.,removed and replaced number 4 intake gasket.
101801,"left,hand baffle plug lock tabs missing.",installed new baffle plug.
101802,number 3 rocker cover is leaking.,removed and replaced gasket.
101803,number 2 intake leaking.,replaced cylinder number 2 intake gasket.
101804,right-hand forward engine baffle seal loose.,reattached baffle seal.
101805,number 2 induction tube gasket leaking.,installed new number 2 induction tube gasket.
101806,right-hand rear engine baffle support bracket rivets broken.,"loosened oil cooler, oil pressure line. removed and riveted baffle"
101807,number 2 and number 4 intakes leaking.,replaced gaskets on number 2 and number 4 intakes.
101808,number 3 intake leaking on right-hand engine.,removed and replaced intake gasket.
101809,"intakes 2, 3 and 4 leaking on left-hand engine.",removed and replaced intake gaskets.
101810,lower left-hand forward baffle seal is loose.,repaired baffle seal and secured.
101811,"climbing after takeoff, engine choked and backfired.","performed engine run up, checked for normal operations"
101812,lower front engine case half seam is leaking.,"reinstalled flywheel. reinstalled, torqued and safetied plug"
101813,lower front engine case half seam is leaking.,removed propeller and flywheel to gain access. cleaned forward case
101814,number 4 intake tube leaking.,removed and replaced intake gasket.
101815,number 1 rocker cover leaking.,removed and replaced number 4 rocker cover gasket.
101816,left idler gear has spalling on fuel pump cam.,installed serviceable gear.
101817,left idler gear has spalling on fuel pump cam.,"inspected, found to be serviceable."
101818,cylinder number 2 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
101819,number 4 intake leaking.,removed and replaced gasket.
101820,number 2 rocker cover leaking.,removed and replaced rocker cover gasket.
101821,number 2 intake leaking.,leak check good.
101822,number 2 intake leaking.,removed and replaced intake gasket.
101823,number 1 rocker cover leaking.,removed and replaced number 1 rocker cover gasket.
101824,rocker cover gaskets number 3 and number 2 are leaking.,removed and replaced rocker cover gaskets.
101825,cylinder number 4 aft baffle cracked.,"removed and replaced aft baffle, installed new baffle spread"
101826,"left,hand engine baffle plug damaged.","removed and replaced left-hand baffle plug, new cylinder number 4 aft baffle"
101827,right-hand number 4 intake gasket is leaking.,removed and replaced gasket.
101828,"cylinder number 2, 3, and 4 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
101829,cylinder number 2 intake gasket leaking.,removed and replaced cylinder number 2 intake gasket.
101830,rocker cover gasket cylinder number 4 leaking.,removed and replaced rocker cover gasket.
101831,number 1 and number 3 rocker covers leaking.,removed and replaced rocker cover gaskets.
101832,number 2 and number 4 rocker covers leaking.,removed and replaced rocker cover gaskets.
101833,bolt missing from number 4 cylinder head.,installed new screw.
101834,bolt missing from number 4 cylinder head.,"inspected, found no bolts missing from cylinder number 4 head. found no bolts missing from cylinder number 4 head."
101835,number 2 and number 3 intake leaking.,removed and replaced number 2 and number 3 intake gaskets.
101836,number 2 rocker cover leaking.,removed and replaced number 2 rocker cover gasket.
101837,number 2 induction tube gasket leaking.,installed new induction tube gasket.
101838,number 4 induction tube gasket leaking.,installed new induction tube gasket.
101839,right-hand engine reached 2770 rpm on takeoff.,2770 rpm is below lycoming overspeed threshold.
101840,number 4 intake gasket leaking.,replaced gasket.
101841,screw missing on number 2 rocker cover.,replaced screw.
101842,number 3 and 4 rocker cover leaking.,removed and replaced rocker cover gaskets.
101843,number 3 and number 1 cylinder intake gaskets leaking.,replaced intake gaskets.
101844,crack in forward baffle center.,stop drilled crack.
101845,forward lower baffle seal loose.,resecured baffle seal.
101846,cylinder number 2 intake gasket leaking.,removed and replaced intake gasket.
101847,rocker cover gaskets cylinder number 1 and number 2 leaking.,removed and replaced rocker cover gaskets.
101848,forward left-hand engine baffle cracked from heat air intake down.,"removed baffle, fabricated patch of like material."
101849,number 2 rocker cover gasket leaking.,tightened rocker screws.
101850,rocker cover gasket from cylinder number 2 leaking.,removed and replaced gasket.
101851,oil cooler has a gap from cowling and box on bottom.,applied high temperature silicone sealant.
101852,egt cylinder number 1 clamp loose.,tightened clamp and secured with safety wire.
101853,number 3 rocker cover leaking.,removed and replaced number 3 rocker cover gasket.
101854,number 2 and number 4 rocker cover leaking.,removed and replaced rocker cover gaskets.
101855,number 4 rocker cover gasket torn.,removed and replaced rocker cover gasket.
101856,number 4 intake leaking.,removed and replaced number 4 intake gasket.
101857,"left,hand engine baffle seal rivets loose.",removed rivets and reinstalled new.
101858,right-hand rear engine baffle mounting screw missing and bracket rivet,removed baffle and reattached bracket. replaced missing standard
101859,intake gaskets number 1 and number 3 leaking.,removed and replaced gaskets.
101860,cylinder number 4 baffle plug teeth are broken.,removed and replaced baffle plug.
101861,"rocker cover gaskets on cylinder number 3, and number 4 leaking.",removed and replaced rocker cover gaskets.
101862,number 3 intake gasket is leaking.,replaced gasket.
101863,number 1 side baffle cracked.,repaired with riveted patch.
101864,number 3 and number 4 rocker gaskets leaking.,removed and replaced rocker cover gaskets.
101865,number 4 intake tube leaking.,removed and replaced intake gasket.
101866,number 3 intake leaking on right-hand engine.,removed and replaced gasket.
101867,hardware missing on left-hand engine number 2 cylinder.,installed new hardware.
101868,intakes 2 and 4 leaking on right-hand engine.,removed and replaced number 2 and number 4 intake gaskets.
101869,muffler heat muff cracked.,stop drilled crack and reinstalled.
101870,"fails mixture check, no rpm rise.",adjusted idle speed and mixture to specs. operations check good.
101871,intake gaskets cylinder number 2 and 4 leaking.,removed and replaced intake gaskets.
101872,number 4 intake gasket leaking.,removed and replaced intake gasket.
101873,number 2 induction tube gasket leaking.,installed new induction tube gasket.
101874,both baffle plugs bad.,removed and replaced baffle plugs.
101875,number 3 rocker cover leaking.,removed and replaced rocker cover gasket.
101876,rocker cover gasket from cylinder number 2 leaking.,removed and replaced rocker cover gaskets.
101877,number 3 induction tube gasket leaking.,replaced intake gasket.
101878,right-hand rear engine baffle mounting screw missing.,installed new screw.
101879,"ran smoothly after engine start lean procedure, then ran very rough",ran aircraft and found engine running extremely rough
101880,"ran smoothly after engine start lean procedure, then ran very rough","installed new gaskets and seals, as well as, number 2 cylinder valve"
101881,"ran smoothly after engine start lean procedure, then ran very rough","removed injector nozzles, cleaned and reinstalled."
101882,number 3 aft baffle cracked.,stop drilled crack.
101883,number 2 and number 3 intake gaskets leaking.,replaced gaskets.
101884,right-hand and left-hand valve covers leaking.,"installed all new valve covers, both engines."
101885,left-hand engine oil cooler to engine lifting eye bracket broken.,installed serviceable bracket.
101886,right-hand engine lifting eye bolt leaking oil.,"removed bolt, clean and sealant applied. reassembled."
101887,number 2 intake leaking.,removed and replaced intake gasket.
101888,right-hand engine number 4 cylinder baffle brace needs to be removed for cannibalizations manual,installed new brace.
101889,right-hand engine number 4 cylinder baffle brace needs to be removed for cannibalizations manual,removed brace as serviceable. part on order.
101890,auto relight deferred.,seemaneuverseed
101891,left engine would not start. attempted normal and flooded.,"performed normal engine start, no discrepancy noted."
101892,"left,hand baffle plug damaged.",installed new plug.
101893,cylinder number 2 baffle screw is missing.,installed new screw.
101894,"engine hesitation, roughness 30 seconds after takeoff. no further required","ran aircraft, did not notice any roughness or hestitation."
101895,all valve covers leaking.,installed all new valve cover gaskets.
101896,number 2 and number 4 intakes leaking.,removed and replaced intake gaskets.
101897,cylinder number 2 and number 3 rocker covers are leaking.,installed new rocker cover gaskets.
101898,number 3 induction tube gasket leaking.,installed new number 3 induction tube gasket.
101899,number 2 and number 4 intake gaskets are leaking.,removed and replaced gaskets with new.
101900,"leaking intake gasket, cylinder number 2.",removed and replaced intake gasket.
101901,"leaking rocker cover gasket, cylinder number 4.",removed and replaced rocker cover gasket.
101902,engine rpm of 2720.,"complied with lycoming, less than 5 percent requirements. no further accordance with lycoming"
101903,cylinder number 3 rocker cover gasket is leaking.,removed and replaced cylinder number 3 rocker cover gasket.
101904,crankshaft seal appears to be leaking.,"removed cowl, leak check good. reinstalled cowl."
101905,crankshaft seal appears to be leaking.,removed safety wire from propeller bolts. cleaned area.
101906,crankshaft seal appears to be leaking.,removed propeller. found crankshaft seal to be leaking.
101907,cylinder number 2 and number 4 intake gaskets leaking.,removed and replaced intake gaskets.
101908,"cylinder number 3 aft baffle screw is tight, but baffle is loose.","removed oil filler tube, removed screw. tapped hole and cover"
101909,cylinder number 4 intake gasket leaking.,removed and replaced cylinder number 4 intake gasket.
101910,"rocker cover gaskets leaking, cylinder number 2 and number 3.",removed and replaced rocker cover gaskets.
101911,number 4 intake leaking.,removed and replaced number 4 intake gasket.
101912,number 2 and number 4 intakes leaking.,removed and replaced intake gaskets.
101913,engine baffle plugs bad.,installed new baffle plugs.
101914,right-hand rear engine baffle mount screw loose.,retightened screw.
101915,"left,hand baffle tie broken.",installed new baffle tie.
101916,"cylinder number 2, and number 3 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
101917,center aft engine baffle cracked.,"removed baffle, drilled out rivets and removed cracked power"
101918,number 4 intake gasket leaking.,replaced gasket.
101919,number 2 intake gasket is leaking.,replaced gasket.
101920,number 2 cylinder compression reading low.,"staked intake valve, compression now 76 out of 80."
101921,"number 1, 2 and 4 intakes leaking.",removed and replaced intake gaskets.
101922,number 4 intake gasket leaking.,replaced gasket.
101923,number 2 and number 4 cylinder rocker cover screws are loose.,tightened screws.
101924,"left, hand baffle plug hole is elongated.",installed baffle plug doubler.
101925,cylinder number 2 intake gasket is leaking.,installed new gasket on number 2 intake flange.
101926,cylinder number 3 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
101927,number 2 and number 4 rocker cover gaskets are leaking.,removed and replaced gaskets.
101928,number 2 cylinder intake leaks.,replaced gasket.
101929,number 1 cylinder has low compression.,leak check good.
101930,number 1 cylinder has low compression.,serviced with mineral oil.
101931,"intake 2, 3 and 4 leaking.",removed and replaced intake gaskets.
101932,engine baffle plugs damaged.,removed and replaced both engine baffle plugs.
101933,number 1 cylinder has low compression.,borescoped engine and found exhaust valve burned.
101934,number 1 cylinder has low compression.,removed cylinder number 1. removed piston. installed new piston.
101935,number 1 cylinder has low compression.,"removed air intake pipe. removed exhaust, removed number 1 rod"
101936,cylinder number 1 and number 3 side baffle is cracked.,"fabricated patch of like material, installed using exhaust valve"
101937,cylinder number 2 exhaust tube elbow top bolt needs to be recotter pinned,removed and replaced loose cotter pin.
101938,cylinder number 1 rocker cover gasket leaking.,replaced rocker cover gasket.
101939,"rocker cover gaskets, cylinder number 2 and 4, leaking.",removed and replaced rocker cover gaskets.
101940,aft baffle support cylinder number 3 has sheared rivet.,"removed baffle, installed new rivets, reinstalled baffle"
101941,"baffling cracked, right-hand engine by number 4 cylinder.",stop drilled cracked baffle.
101942,cylinder number 3 rocker cover gasket leaking.,installed new gasket.
101943,"left,hand cooling baffle connecting rod broken.",installed new connecting rod on cooling baffle.
101944,right-hand cylinder cooling baffle contacting oil return line.,"tightened baffle connecting rod, no damage to oil return"
101945,cylinder number 2 intake gasket leaking.,removed and replaced intake gasket.
101946,"cylinder number 2, and number 4 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
101947,forward center engine baffle cracked.,"removed damaged baffle section, fabricated new section"
101948,"cylinder number 2, 3 and 4 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
101949,number 2 rocker cover leaking.,replaced rocker cover gasket.
101950,hardware missing on right-hand rear baffle.,installed new hardware.
101951,number 2 induction tube gasket leaking.,installed new number 2 induction tube gasket.
101952,right-hand baffle seal by propeller governor loose.,riveted baffle seal back onto baffle.
101953,number 2 and number 4 intake leaking.,removed and replaced intake gaskets.
101954,intake gasket cylinder number 4 leaking.,removed and replaced intake gasket.
101955,intake gaskets cylinder number 1 and number 3 leaking.,removed and replaced intake gaskets.
101956,"rocker cover gaskets cylinder number 3, 4, and 1 leaking.",replaced rocker cover gaskets.
101957,right-hand aft baffling rivets sheared.,"removed baffling, drilled out broken rivets. replaced baffling"
101958,number 3 cylinder lower spark plug boss threads damaged.,"cleaned threads with 18 maintenance manual tap, inspected threads, threads"
101959,"right, hand baffle plug worn.",removed and replaced right-hand baffle plug.
101960,"left,hand forward baffle is cracked.",removed and replaced baffle.
101961,"left,hand forward engine baffle cracked at corner.",stop drilled end of crack.
101962,number 2 intake gasket leaking.,replaced number 2 intake gasket with new.
101963,number 4 bottom rocker cover screw won't tighten.,cleaned threads in cylinder head and tightened screw.
101964,number 2 and number 3 intakes leaking on left-hand engine.,replaced both number 2 and number 3 intake gaskets.
101965,number 1 intake tube damaged.,canned cylinder number 1 intake pipe from inventory item. removed
101966,number 4 intake leaking on left-hand engine.,removed and replaced number 4 intake gasket on left-hand engine.
101967,"number 3 intake leaking on left-hand engine, along with number 2.",removed and replaced number 2 and number 3 intake gaskets.
101968,"intakes 2, 3 and 4 leaking.",removed and replaced intake gaskets.
101969,number 2 intake gasket leaking.,installed new intake gasket.
101970,rocker cover gasket number 1 leaking.,removed and replaced rocker cover gasket.
101971,forward lower engine baffle seal loose.,resecured baffle seal on forward engine baffle.
101972,number 2 and 4 intakes on right-hand engine leaking.,replaced intake gaskets.
101973,cylinder number 2 intake gasket is leaking.,removed and replaced gasket with new.
101974,"right, hand baffle plug is missing.","installed new plug, unable to locate existing plug."
101975,left and right baffle plugs have several broken fingers.,replaced baffle plugs.
101976,baffle plug worn.,installed new baffle plug.
101977,rocker cover gaskets number 2 and number 3 leaking.,removed and replaced rocker gaskets.
101978,"left, hand engine baffle screw missing.",installed new screw.
101979,right-hand engine baffle number 2 and number 4 crosstie broken.,installed new baffle crosstie.
101980,"right-hand engine number 2, 3 and 4 rocker box covers leaking.",removed and replaced rocker cover gaskets on right-hand engine.
101981,cylinder number 3 rocker cover gasket leaking.,installed new gasket.
101982,right-hand aft cooling baffling rivets sheared.,"removed aft baffle, installed new rivets. reattached aft"
101983,cylinder number 3 rocker cover gasket leaking.,removed and replaced cylinder number 3 rocker cover gasket.
101984,baffle plugs have broken fingers.,replaced plugs.
101985,"cylinder number 2, and number 4 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
101986,number 4 baffle cracked in front of oil cooler.,upon further inspection determined to be a scratch.
101987,cylinder number 2 and number 3 rocker cover gaskets leaking.,removed and replaced rocker cover gasket.
101988,number 4 intake leaking on right-hand engine.,removed and replaced intake gasket.
101989,number 2 and 4 intakes leaking on left-hand engine.,removed and replaced intake gaskets.
101990,number 2 rocker cover leaking on right-hand engine.,installed new rocker box cover gasket.
101991,number 3 rocker cover leaking on left-hand engine.,removed and replaced rocker cover gasket.
101992,"right, hand propeller shaft seal seeping.","ran, leak checked ok."
101993,"right, hand propeller shaft seal seeping.",installed new seal and gasket. torqued and safetied retainer
101994,cylinder number 3 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
101995,cylinder number 2 intake gasket leaking.,removed and replaced intake gasket.
101996,"left, hand baffle plug missing teeth.",installed new plug.
101997,number 2 and number 4 intake gaskets are leaking.,replaced gaskets.
101998,number 3 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
101999,cylinder number 1 intake gasket is leaking.,removed and replaced gasket with new.
102000,"left,hand inboard baffle spring is broken.",removed and replaced spring with new.
102001,cylinder number 1 rocker cover gasket leaking.,removed and replaced gasket with new.
102002,engine failure while holding short. throttle was idle.,"ran aircraft. magneto, idle rpm and idle mixture check good. inspected"
102003,cylinder number 4 intake gasket is leaking.,removed and replaced gasket with new.
102004,cylinder number 4 has low compression.,"rechecked compressions after post run, operations check good."
102005,number 2 intake gasket leaks.,removed and replaced intake gasket.
102006,number 2 rocker cover leaks.,removed and replaced rocker cover gasket.
102007,number 4 intake leaking.,replaced gasket.
102008,all rocker covers have loose screws.,tightened all screws.
102009,rivet sheared at right-hand aft baffle.,removed and replaced sheared rivet.
102010,rivet sheared at right-hand aft baffle.,"replaced upper baffle material rivet, installed new screw"
102011,"rocker covers 2, 3 and 4 leaking.","removed rocker covers, cleaned mating surfaces, installed"
102012,number 4 intake gasket leaking.,removed and replaced intake gasket.
102013,"left, hand number 3 rocker cover leaking.",for corrective action.
102014,"number 2 engine left rear baffle cracked at inter, cylinder connection",installed sheet metal doubler and stop drilled.
102015,number 2 rocker gasket is leaking.,replaced gasket.
102016,number 1 and number 3 baffle tie wire loose.,resecured tie wire.
102017,number 2 and number 4 intake gaskets are leaking.,replaced gaskets.
102018,bolt missing connecting upper ends of number 3 and 4 aft baffles.,"installed new bolt, washer and nut."
102019,right-hand rear engine baffle mounting screw loose.,tightened screw.
102020,"cracked front upper right, hand side engine baffle on number 1 cylinder.","removed old cracked patch, riveted new patch on baffle"
102021,number 4 rocker gasket is leaking.,replaced rocker gasket.
102022,"on approach, engine roughness about 7 to 10 seconds. adjusted mixture","performed ground run, all systems operations checked good."
102023,"on approach, engine roughness about 7 to 10 seconds. adjusted mixture","inspected engine, found cylinder number 2 intake leak. removed and replaced engine"
102024,"performing ground reference maneuvers, throttle was at 1600 rpm","ran aircraft, engine ran very rough. number 2 and number 3 egts were much"
102025,"performing ground reference maneuvers, throttle was at 1600 rpm","inspected, found exhaust valve contacted piston."
102026,"performing ground reference maneuvers, throttle was at 1600 rpm","reamed exhaust valve guides on numbers 1, 2 and 4 cylinders in accordance with reference manual"
102027,"performing ground reference maneuvers, throttle was at 1600 rpm","ran engine, operations and leak check good. installed cowl and inches miner"
102028,"performing ground reference maneuvers, throttle was at 1600 rpm",installed baffles. direct drive overhaul
102029,"performing ground reference maneuvers, throttle was at 1600 rpm",removed number 3 aft cylinder assembly and installed repaired cylinder assembly kit
102030,engine cowl dzust fasteners need retainers.,installed fasteners.
102031,"right-hand engine shutdown on landing, was able to restart and taxi","ran up engine, adjusted mixture and idle, operations check good."
102032,number 2 intake on right-hand engine leaking.,removed and replaced intake gasket.
