ident,text,items,faults,actions
101801,left-hand baffle plug lock tabs missing . installed new baffle plug .,baffle plug; tabs,missing,installed
101802,number 3 rocker cover is leaking . removed and replaced gasket .,rocker cover; gasket,leaking,removed; replaced
101803,number 2 intake leaking . replaced cylinder number 2 intake gasket .,intake; cylinder; intake gasket,leaking,replaced
101804,right-hand forward engine baffle seal loose . reattached baffle seal .,engine; baffle seal,loose,reattached
101805,number 2 induction tube gasket leaking . installed new number 2 induction tube gasket .,induction tube gasket,leaking,installed
101806,"right-hand rear engine baffle support bracket rivets broken . loosened oil cooler , oil pressure line . re - riveted baff",engine; baffle support bracket; rivets; oil cooler; oil pressure line; baff,broken,loosened; re; re - riveted; riveted
101807,number 2 and 4 intakes leaking . replaced gaskets on number 2 and 4 intakes .,intakes; gaskets,leaking,replaced
101808,number 3 intake leaking on right-hand engine . removed and replaced intake gasket .,intake; engine; intake gasket,leaking,removed; replaced
101809,"intakes 2 , 3 and 4 leaking on left-hand engine . removed and replaced intake gaskets .",intakes; engine; intake gaskets,leaking,removed; replaced
101810,lower left-hand forward baffle seal is loose . repaired baffle seal and secured .,baffle seal,loose,repaired; secured
101811,"climbing after takeoff , engine choked and backfired . performed engine run up , checked for normal operation at",engine,choked; backfired,run up; checked
101812,"lower front engine case half seam is leaking . reinstalled flywheel . reinstalled , torqued and safetied p",engine; case half seam; flywheel,leaking,reinstalled; torqued; safetied
101813,lower front engine case half seam is leaking . removed propeller and flywheel to gain access . cleaned forward cas,engine; case half seam; propeller; flywheel; cas,leaking,removed; cleaned
101814,number 4 intake tube leaking . removed and replaced intake gasket .,intake tube; intake gasket,leaking,removed; replaced
101815,number 1 rocker cover leaking . removed and replaced number 4 rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
101816,left idler gear has spalling on fuel pump cam . installed serviceable gear .,idler gear; fuel pump cam; serviceable gear,,installed
101817,"left idler gear has spalling on fuel pump cam . inspected , found to be serviceable .",idler gear; fuel pump cam,spalling,inspected
101818,cylinder number 2 rocker cover gasket leaking . removed and replaced rocker cover gasket .,cylinder; rocker cover gasket,leaking,removed; replaced
101819,number 4 intake leaking . removed and replaced gasket .,intake; gasket,leaking,removed; replaced
101820,number 2 rocker cover leaking . removed and replaced rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
101821,number 2 intake leaking . leak check good .,intake,leaking,leak check
101822,number 2 intake leaking . removed and replaced intake gasket .,intake; intake gasket,leaking,removed; replaced
101823,number 1 rocker cover leaking . removed and replaced number 1 rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
101824,rocker cover gaskets number 3 and 2 are leaking . removed and replaced rocker cover gaskets .,rocker cover gaskets,leaking,removed; replaced
101825,"cylinder number 4 aft baffle cracked . removed and replaced aft baffle , installed new baffle spr",cylinder; baffle; baffle spr,cracked,removed; replaced; installed
101826,"left-hand engine baffle plug damaged . removed and replaced left-hand baffle plug , new cylinder number 4 aft baff",engine; baffle plug; cylinder; baff,damaged,removed; replaced
101827,right-hand number 4 intake gasket is leaking . removed and replaced gasket .,intake gasket; gasket,leaking,removed; replaced
101828,"cylinder number 2 , 3 , and 4 rocker cover gaskets leaking . removed and replaced rocker cover gaskets .",cylinder; rocker cover gaskets,leaking,removed; replaced
101829,cylinder number 2 intake gasket leaking . removed and replaced cylinder number 2 intake gasket .,cylinder; intake gasket,leaking,removed; replaced
101830,rocker cover gasket cylinder number 4 leaking . removed and replaced rocker cover gasket .,rocker cover gasket; cylinder,leaking,removed; replaced
101831,number 1 and 3 rocker covers leaking . removed and replaced rocker cover gaskets .,rocker covers; rocker cover gaskets,leaking,removed; replaced
101832,number 2 and 4 rocker covers leaking . removed and replaced rocker cover gaskets .,rocker covers; rocker cover gaskets,leaking,removed; replaced
101833,bolt missing from number 4 cylinder head . installed new screw .,bolt; cylinder head; screw,missing,installed
101834,"bolt missing from number 4 cylinder head . inspected , found no bolts missing from cylinder number 4 head . fou",bolt; cylinder head; cylinder; head,missing; no bolts missing,inspected
101835,number 2 and 3 intake leaking . removed and replaced number 2 and 3 intake gaskets .,intake; intake gaskets,leaking,removed; replaced
101836,number 2 rocker cover leaking . removed and replaced number 2 rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
101837,number 2 induction tube gasket leaking . installed new induction tube gasket .,induction tube gasket,leaking,installed
101838,number 4 induction tube gasket leaking . installed new induction tube gasket .,induction tube gasket,leaking,installed
101839,right-hand engine reached 2770 rpm on takeoff . 2770 rpm is below lycoming overspeed threshold .,engine,,
101840,number 4 intake gasket leaking . replaced gasket .,intake gasket; gasket,leaking,replaced
101841,screw missing on number 2 rocker cover . replaced screw .,screw; rocker cover,missing,replaced
101842,number 3 and 4 rocker cover leaking . removed and replaced rocker cover gaskets .,rocker cover; rocker cover gaskets,leaking,removed; replaced
101843,number 3 and 1 cylinder intake gaskets leaking . replaced intake gaskets .,cylinder; intake gaskets,leaking,replaced
101844,crack in forward baffle center . stop drilled crack .,baffle center,crack,stop drilled
101845,forward lower baffle seal loose . resecured baffle seal .,baffle seal,loose,resecured
101846,cylinder number 2 intake gasket leaking . removed and replaced intake gasket .,cylinder; intake gasket,leaking,removed; replaced
101847,rocker cover gaskets cylinder number 1 and 2 leaking . removed and replaced rocker cover gaskets .,rocker cover gaskets; cylinder,leaking,removed; replaced
101848,"forward left-hand engine baffle cracked from heat air intake down . removed baffle , fabricated patch of like material . rive",engine; baffle; heat air intake down; patch; like material,cracked,removed; fabricated
101849,number 2 rocker cover gasket leaking . tightened rocker screws .,rocker cover gasket; rocker screws,leaking,tightened
101850,rocker cover gasket from cylinder number 2 leaking . removed and replaced gasket .,rocker cover gasket; cylinder; gasket,leaking,removed; replaced
101851,oil cooler has a gap from cowling and box on bottom . applied high temperature silicone sealant .,oil cooler; cowling; box; high temperature silicone sealant,,applied
101852,egt cylinder number 1 clamp loose . tightened clamp and secured with safety wire .,egt cylinder; cylinder; clamp; safety wire,loose,tightened; secured
101853,number 3 rocker cover leaking . removed and replaced number 3 rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
101854,number 2 and 4 rocker cover leaking . removed and replaced rocker cover gaskets .,rocker cover; rocker cover gaskets,leaking,removed; replaced
101855,number 4 rocker cover gasket torn . removed and replaced rocker cover gasket .,rocker cover gasket,torn,removed; replaced
101856,number 4 intake leaking . removed and replaced number 4 intake gasket .,intake; intake gasket,leaking,removed; replaced
101857,left-hand engine baffle seal rivets loose . removed rivets and reinstalled new .,engine; baffle seal rivets; rivets,loose,removed; reinstalled
101858,right-hand rear engine baffle mounting screw missing and bracket rive . removed baffle and reattached bracket . replaced missing s,engine; baffle mounting screw; bracket; rive; baffle,missing,removed; reattached; replaced
101859,intake gaskets number 1 and 3 leaking . removed and replaced gaskets .,intake gaskets; gaskets,leaking,removed; replaced
101860,cylinder number 4 baffle plug teeth are broken . removed and replaced baffle plug .,cylinder; baffle plug,broken,removed; replaced
101861,"rocker cover gaskets on cylinder number 3 , 4 leaking . removed and replaced rocker cover gaskets .",rocker cover gaskets; cylinder,leaking,removed; replaced
101862,number 3 intake gasket is leaking . replaced gasket .,intake gasket; gasket,leaking,replaced
101863,number 1 side baffle cracked . repaired with riveted patch .,baffle; patch,cracked,repaired; riveted
101864,number 3 and 4 rocker gaskets leaking . removed and replaced rocker cover gaskets .,rocker gaskets; rocker cover gaskets,leaking,removed; replaced
101865,number 4 intake tube leaking . removed and replaced intake gasket .,intake tube; intake gasket,leaking,removed; replaced
101866,number 3 intake leaking on right-hand engine . removed and replaced gasket .,intake; engine; gasket,leaking,removed; replaced
101867,hardware missing on left-hand engine number 2 cylinder . installed new hardware .,hardware; engine; cylinder,missing,installed
101868,intakes 2 and 4 leaking on right-hand engine . removed and replaced number 2 and 4 intake gaskets .,intakes; engine; intake gaskets,leaking,removed; replaced
101869,muffler heat muff cracked . stop drilled crack and reinstalled .,muffler heat muff,cracked; crack,stop drilled; reinstalled
101870,fails mixture check - no rpm rise . adjusted idle speed and mixture to specs . operations check good .,,fails; no rpm rise,mixture check; adjusted; operations check
101871,intake gaskets cylinder number 2 and 4 leaking . removed and replaced intake gaskets .,intake gaskets; cylinder,leaking,removed; replaced
101872,number 4 intake gasket leaking . removed and replaced intake gasket .,intake gasket,leaking,removed; replaced
101873,number 2 induction tube gasket leaking . installed new induction tube gasket .,induction tube gasket,leaking,installed
101874,both baffle plugs bad . removed and replaced baffle plugs .,baffle plugs,bad,removed; replaced
101875,number 3 rocker cover leaking . removed and replaced rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
101876,rocker cover gasket from cylinder number 2 leaking . removed and replaced rocker cover gaskets .,rocker cover gasket; cylinder; rocker cover gaskets,leaking,removed; replaced
101877,number 3 induction tube gasket leaking . replaced intake gasket .,induction tube gasket; intake gasket,leaking,replaced
101878,right-hand rear engine baffle mounting screw missing . installed new screw .,engine; baffle mounting screw; screw,missing,installed
101879,"ran smoothly after engine start lean procedure , then ran ver . ran aircraft and found engine running extremely rough , intermi",ver; aircraft; engine,running extremely rough,ran
101880,"ran smoothly after engine start lean procedure , then ran ver . installed new gaskets and seals , as well as , number 2 cylinder valve",gaskets; seals; cylinder; valve,,installed
101881,"ran smoothly after engine start lean procedure , then ran ver . removed injector nozzles , cleaned and reinstalled . perfor",ver; injector nozzles,,ran; removed; cleaned; reinstalled
101882,number 3 aft baffle cracked . stop drilled crack .,baffle,cracked; crack,stop drilled
101883,number 2 and 3 intake gaskets leaking . replaced gaskets .,intake gaskets; gaskets,leaking,replaced
101884,"right-hand and left-hand valve covers leaking . installed all new valve covers , both engines .",valve covers; engines,leaking,installed
101885,left-hand engine oil cooler to engine lifting eye bracket broken . installed serviceable bracket .,engine; oil cooler; lifting eye bracket; serviceable bracket,broken,installed
101886,"right-hand engine lifting eye bolt leaking oil . removed bolt , clean and sealant applied . reassembled .",engine; lifting eye bolt; oil; bolt; sealant,leaking,removed; clean; applied; reassembled
101887,number 2 intake leaking . removed and replaced intake gasket .,intake; intake gasket,leaking,removed; replaced
101888,right-hand engine number 4 cylinder baffle brace needs to be removed for can o . installed new brace .,engine; cylinder; baffle brace; brace,,removed; installed
101889,right-hand engine number 4 cylinder baffle brace needs to be removed for can o . removed brace as serviceable . part on order .,engine; cylinder; baffle brace; brace,,removed
101890,auto relight deferred . see,auto relight,,
101891,"left engine would not start . attempted normal and flooded . performed normal engine start , no discrepancy noted . l /",engine,would not start,attempted; performed normal engine start
101892,left-hand baffle plug damaged . installed new plug .,baffle plug; plug,damaged,installed
101893,cylinder number 2 baffle screw is missing . installed new screw .,cylinder; baffle screw; screw,missing,installed
101894,"engine hesitation / roughness 30 sec after takeoff . no further . ran aircraft , did not notice any roughness or hestitation .",engine; aircraft,hesitation; roughness,ran
101895,all valve covers leaking . installed all new valve cover gaskets .,valve covers; valve cover gaskets,leaking,installed
101896,number 2 and 4 intakes leaking . removed and replaced intake gaskets .,intakes; intake gaskets,leaking,removed; replaced
101897,cylinder number 2 and 3 rocker covers are leaking . installed new rocker cover gaskets .,cylinder; rocker covers; rocker cover gaskets,leaking,installed
101898,number 3 induction tube gasket leaking . installed new number 3 induction tube gasket .,induction tube gasket,leaking,installed
101899,number 2 and 4 intake gaskets are leaking . removed and replaced gaskets with new .,intake gaskets; gaskets,leaking,removed; replaced
101900,"leaking intake gasket , cylinder number 2 . removed and replaced intake gasket .",intake gasket; cylinder,leaking,removed; replaced
101901,"leaking rocker cover gasket , cylinder number 4 . removed and replaced rocker cover gasket .",rocker cover gasket; cylinder,leaking,removed; replaced
101902,"engine rpm of 2720 . complied with lycoming , less than 5 % requirements . no fur",engine,,complied
101903,cylinder number 3 rocker cover gasket is leaking . removed and replaced cylinder number 3 rocker cover gasket .,cylinder; rocker cover gasket,leaking,removed; replaced
101904,"crankshaft seal appears to be leaking . removed cowl , leak check good . reinstalled cowl .",crankshaft seal; cowl,leaking,removed; leak check; reinstalled
101905,crankshaft seal appears to be leaking . removed safety wire from propeller bolts . cleaned area . ran,crankshaft seal; safety wire; propeller bolts,leaking,removed; cleaned; ran
101906,crankshaft seal appears to be leaking . removed propeller . found crankshaft seal to be leaking . remo,crankshaft seal; propeller,leaking,removed
101907,cylinder number 2 and 4 intake gaskets leaking . removed and replaced intake gaskets .,cylinder; intake gaskets,leaking,removed; replaced
101908,"cylinder number 3 aft baffle screw is tight , but baffle is loose . removed oil filler tube , removed screw . tapped hole and c",cylinder; baffle screw; baffle; oil filler tube; screw; hole,tight; loose,removed; tapped
101909,cylinder number 4 intake gasket leaking . removed and replaced cylinder number 4 intake gasket .,cylinder; intake gasket,leaking,removed; replaced
101910,"rocker cover gaskets leaking , cylinder number 2 and 3 . removed and replaced rocker cover gaskets .",rocker cover gaskets; cylinder,leaking,removed; replaced
101911,number 4 intake leaking . removed and replaced number 4 intake gasket .,intake; intake gasket,leaking,removed; replaced
101912,number 2 and 4 intakes leaking . removed and replaced intake gaskets .,intakes; intake gaskets,leaking,removed; replaced
101913,engine baffle plugs bad . installed new baffle plugs .,engine; baffle plugs,bad,installed
101914,right-hand rear engine baffle mount screw loose . retightened screw .,engine; baffle mount screw; screw,loose,retightened
101915,left-hand baffle tie broken . installed new baffle tie .,baffle tie,broken,installed
101916,"cylinder number 2 , 3 rocker cover gaskets leaking . removed and replaced rocker cover gaskets .",cylinder; rocker cover gaskets,leaking,removed; replaced
101917,"center aft engine baffle cracked . removed baffle , drilled out rivets and removed cracked po",center; engine; baffle; rivets,cracked,removed; drilled out
101918,number 4 intake gasket leaking . replaced gasket .,intake gasket; gasket,leaking,replaced
101919,number 2 intake gasket is leaking . replaced gasket .,intake gasket; gasket,leaking,replaced
101920,"number 2 cylinder comperssion reading low . staked intake valve , compression now 76 / 80 .",cylinder; intake valve,low,staked
101921,"number 1 , 2 and 4 intakes leaking . removed and replaced intake gaskets .",intakes; intake gaskets,leaking,removed; replaced
101922,number 4 intake gasket leaking . replaced gasket .,intake gasket; gasket,leaking,replaced
101923,number 2 and 4 cylinder rocker cover screws are loose . tightened screws .,cylinder; rocker cover screws; screws,loose,tightened
101924,left-hand baffle plug hole is elongated . installed baffle plug doubler .,baffle plug hole; baffle plug doubler,elongated,installed
101925,cylinder number 2 intake gasket is leaking . installed new gasket on number 2 intake flange .,cylinder; intake gasket; gasket; intake flange,leaking,installed
101926,cylinder number 3 rocker cover gasket leaking . removed and replaced rocker cover gasket .,cylinder; rocker cover gasket,leaking,removed; replaced
101927,number 2 and 4 rocker cover gaskets are leaking . removed and replaced gaskets .,rocker cover gaskets; gaskets,leaking,removed; replaced
101928,number 2 cylinder intake leaks . replaced gasket .,cylinder; intake; gasket,leaks,replaced
101929,number 1 cylinder has low compression . leak check good .,cylinder,low,leak check
101930,number 1 cylinder has low compression . serviced with mineral oil .,cylinder; mineral oil,low,serviced
101931,"intake 2 , 3 and 4 leaking . removed and replaced intake gaskets .",intake; intake gaskets,leaking,removed; replaced
101932,engine baffle plugs damaged . removed and replaced both engine baffle plugs .,engine; baffle plugs,damaged,removed; replaced
101933,number 1 cylinder has low compression . borescoped engine and found exhaust valve burned .,cylinder; engine; exhaust valve,low; burned,borescoped
101934,number 1 cylinder has low compression . removed cylinder number 1 . removed piston . installed new piston . i,cylinder; piston,low,removed; installed
101935,"number 1 cylinder has low compression . removed air intake pipe . removed exhaust , removed number 1 ro",cylinder; air intake pipe; exhaust,low,removed
101936,"cylinder number 1 and 3 side baffle is cracked . fabricated patch of like material , installed using exis",cylinder; baffle; patch; like material,cracked,fabricated; installed
101937,cylinder number 2 exhaust tube elbow top bolt needs to be recotter pinn . removed and replaced loose cotter pin .,cylinder; exhaust tube; bolt; recotter pinn; cotter pin,loose,removed; replaced
101938,cylinder number 1 rocker cover gasket leaking . replaced rocker cover gasket .,cylinder; rocker cover gasket,leaking,replaced
101939,"rocker cover gaskets , cylinder number 2 and 4 , leaking . removed and replaced rocker cover gaskets .",rocker cover gaskets; cylinder,leaking,removed; replaced
101940,"aft baffle support cylinder number 3 has sheared rivet . removed baffle , installed new rivets , reinstalled baffl",baffle support; baffle support cylinder; rivet; baffle; rivets,sheared,removed; installed; reinstalled
101941,"baffling cracked , right-hand engine by number 4 cylinder . stop drilled cracked baffle .",baffling; engine; cylinder; baffle,cracked,stop drilled
101942,cylinder number 3 rocker cover gasket leaking . installed new gasket .,cylinder; rocker cover gasket; gasket,leaking,installed
101943,left-hand cooling baffle connecting rod broken . installed new connecting rod on cooling baffle .,connecting rod; baffle,broken,installed
101944,"right-hand cylinder cooling baffle contacting oil return line . tightened baffle connecting rod , no damage to oil retur",cylinder; baffle; oil return line; baffle connecting rod; oil retur,,tightened
101945,cylinder number 2 intake gasket leaking . removed and replaced intake gasket .,cylinder; intake gasket,leaking,removed; replaced
101946,"cylinder number 2 , 4 rocker cover gaskets leaking . removed and replaced rocker cover gaskets .",cylinder; rocker cover gaskets,leaking,removed; replaced
101947,"forward center engine baffle cracked . removed damaged baffle section , fabricated new section",engine; baffle; baffle section; section,cracked; damaged,removed; fabricated
101948,"cylinder number 2 , 3 and 4 rocker cover gaskets leaking . removed and replaced rocker cover gaskets .",cylinder; rocker cover gaskets,leaking,removed; replaced
101949,number 2 rocker cover leaking . replaced rocker cover gasket .,rocker cover; rocker cover gasket,leaking,replaced
101950,hardware missing on right-hand rear baffle . installed new hardware .,hardware; baffle,missing,installed
101951,number 2 induction tube gasket leaking . installed new number 2 induction tube gasket .,induction tube gasket,leaking,installed
101952,right-hand baffle seal by propeller governor loose . riveted baffle seal back onto baffle .,baffle seal; propeller governor; baffle,loose,riveted
101953,number 2 and 4 intake leaking . removed and replaced intake gaskets .,intake; intake gaskets,leaking,removed; replaced
101954,intake gasket cylinder number 4 leaking . removed and replaced intake gasket .,intake gasket; cylinder,leaking,removed; replaced
101955,intake gaskets cylinder number 1 and 3 leaking . removed and replaced intake gaskets .,intake gaskets; cylinder,leaking,removed; replaced
101956,"rocker cover gaskets cylinder number 3 , 4 , 1 leaking . replaced rocker cover gaskets .",rocker cover gaskets; cylinder,leaking,replaced
101957,"right-hand aft baffling rivets sheared . removed baffling , drilled out broken rivets . replaced b",baffling; rivets,sheared; broken,removed; drilled out; replaced
101958,"number 3 cylinder lower spark plug boss threads damaged . cleaned threads with 18 maintenance manual tap , inspected threads , threads",cylinder; spark plug boss threads; threads,damaged,cleaned; inspected
101959,right-hand baffle plug worn . removed and replaced right-hand baffle plug .,baffle plug,worn,removed; replaced
101960,left-hand forward baffle is cracked . removed and replaced baffle .,baffle,cracked,removed; replaced
101961,left-hand forward engine baffle cracked at corner . stop drilled end of crack .,engine; baffle; corner,cracked; crack,stop drilled
101962,number 2 intake gasket leaking . replaced number 2 intake gasket with new .,intake gasket,leaking,replaced
101963,number 4 bottom rocker cover screw won ' t tighten . cleaned threads in cylinder head and tightened screw .,rocker cover screw; threads; cylinder head; screw,won ' t tighten,cleaned; tightened
101964,number 2 and 3 intakes leaking on left-hand engine . replaced both number 2 and 3 intake gaskets .,intakes; engine; intake gaskets,leaking,replaced
101965,number 1 intake tube damaged . canned cylinder number 1 intake pipe from inventory item . removed,intake tube; cylinder; intake pipe; inventory item,damaged,canned; removed
101966,number 4 intake leaking on left-hand engine . removed and replaced number 4 intake gasket on left-hand engine .,intake; engine; intake gasket,leaking,removed; replaced
101967,"number 3 intake leaking on left-hand engine , along with number 2 . removed and replaced number 2 and 3 intake gaskets .",intake; engine; intake gaskets,leaking,removed; replaced
101968,"intakes 2 , 3 and 4 leaking . removed and replaced intake gaskets .",intakes; intake gaskets,leaking,removed; replaced
101969,number 2 intake gasket leaking . installed new intake gasket .,intake gasket,leaking,installed
101970,rocker cover gasket number 1 leaking . removed and replaced rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
101971,forward lower engine baffle seal loose . resecured baffle seal on forward engine baffle .,engine; baffle seal; baffle,loose,resecured
101972,number 2 and 4 intakes on right-hand engine leaking . replaced intake gaskets .,intakes; engine; intake gaskets,leaking,replaced
101973,cylinder number 2 intake gasket is leaking . removed and replaced gasket with new .,cylinder; intake gasket; gasket,leaking,removed; replaced
101974,"right-hand baffle plug is missing . installed new plug , unable to locate existing plug .",baffle plug; plug,missing; unable to locate,installed
101975,left and right baffle plugs have several broken fingers . replaced baffle plugs .,baffle plugs,broken,replaced
101976,baffle plug worn . installed new baffle plug .,baffle plug,worn,installed
101977,rocker cover gaskets number 2 and 3 leaking . removed and replaced rocker gaskets .,rocker cover gaskets; rocker gaskets,leaking,removed; replaced
101978,left-hand engine baffle screw missing . installed new screw .,engine; baffle screw; screw,missing,installed
101979,right-hand engine baffle number 2 and 4 crosstie broken . installed new baffle crosstie .,engine; baffle; crosstie; baffle crosstie,broken,installed
101980,"right-hand engine number 2 , 3 and 4 rocker box covers leaking . removed and replaced rocker cover gaskets on right-hand engine .",engine; rocker box covers; rocker cover gaskets,leaking,removed; replaced
101981,cylinder number 3 rocker cover gasket leaking . installed new gasket .,cylinder; rocker cover gasket; gasket,leaking,installed
101982,"right-hand aft cooling baffling rivets sheared . removed aft baffle , installed new rivets . reattached af",rivets; baffle,sheared,removed; installed; reattached
101983,cylinder number 3 rocker cover gasket leaking . removed and replaced cylinder number 3 rocker cover gasket .,cylinder; rocker cover gasket,leaking,removed; replaced
101984,baffle plugs have broken fingers . replaced plugs .,baffle plugs; plugs,broken,replaced
101985,"cylinder number 2 , 4 rocker cover gaskets leaking . removed and replaced rocker cover gaskets .",cylinder; rocker cover gaskets,leaking,removed; replaced
101986,number 4 baffle cracked in front of oil cooler . upon further inspection determined to be a scratch .,baffle; oil cooler,cracked; scratch,further inspection
101987,cylinder number 2 and 3 rocker cover gaskets leaking . removed and replaced rocker cover gasket .,cylinder; rocker cover gaskets; rocker cover gasket,leaking,removed; replaced
101988,number 4 intake leaking on right-hand engine . removed and replaced intake gasket .,intake; engine; intake gasket,leaking,removed; replaced
101989,number 2 and 4 intakes leaking on left-hand engine . removed and replaced intake gaskets .,intakes; engine; intake gaskets,leaking,removed; replaced
101990,number 2 rocker cover leaking on right-hand engine . installed new rocker box cover gasket .,rocker cover; engine; rocker box cover gasket,leaking,installed
101991,number 3 rocker cover leaking on left-hand engine . removed and replaced rocker cover gasket .,rocker cover; engine; rocker cover gasket,leaking,removed; replaced
101992,"right-hand propeller shaft seal seeping . ran , leak checked ok .",propeller shaft seal,seeping,ran; leak checked
101993,right-hand propeller shaft seal seeping . installed new seal and gasket . torqued and safetied retainer,propeller shaft seal; seal; gasket; retainer,seeping,installed; torqued; safetied
101994,cylinder number 3 rocker cover gasket leaking . removed and replaced rocker cover gasket .,cylinder; rocker cover gasket,leaking,removed; replaced
101995,cylinder number 2 intake gasket leaking . removed and replaced intake gasket .,cylinder; intake gasket,leaking,removed; replaced
101996,left-hand baffle plug missing teeth . installed new plug .,baffle plug; plug,missing,installed
101997,number 2 and 4 intake gaskets are leaking . replaced gaskets .,intake gaskets; gaskets,leaking,replaced
101998,number 3 rocker cover gasket leaking . removed and replaced rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
101999,cylinder number 1 intake gasket is leaking . removed and replaced gasket with new .,cylinder; intake gasket; gasket,leaking,removed; replaced
102000,left-hand inboard baffle spring is broken . removed and replaced spring with new .,baffle spring; spring,broken,removed; replaced
102001,cylinder number 1 rocker cover gasket leaking . removed and replaced gasket with new .,cylinder; rocker cover gasket; gasket,leaking,removed; replaced
102002,"engine failure while holding short . throttle was idle . ran aircraft . magneto , idle rpm and idle mixture check good . inspecte",engine; throttle; aircraft; magneto,failure,ran; idle mixture check; inspecte
102003,cylinder number 4 intake gasket is leaking . removed and replaced gasket with new .,cylinder; intake gasket; gasket,leaking,removed; replaced
102004,"cylinder number 4 has low compression . rechecked compressions after post run , operations check good .",cylinder,low,rechecked compressions; operations check
102005,number 2 intake gasket leaks . removed and replaced intake gasket .,intake gasket,leaks,removed; replaced
102006,number 2 rocker cover leaks . removed and replaced rocker cover gasket .,rocker cover; rocker cover gasket,leaks,removed; replaced
102007,number 4 intake leaking . replaced gasket .,intake; gasket,leaking,replaced
102008,all rocker covers have loose screws . tightened all screws .,rocker covers; screws,loose,tightened
102009,rivet sheared at right-hand aft baffle . removed and replaced sheared rivet .,rivet; baffle,sheared,removed; replaced
102010,"rivet sheared at right-hand aft baffle . replaced upper baffle material rivet , installed new scr",rivet; baffle; upper baffle material rivet,sheared,replaced; installed
102011,"rocker covers 2 , 3 and 4 leaking . removed rocker covers , cleaned mating surfaces , install",rocker covers; mating surfaces,leaking,removed; cleaned; install
102012,number 4 intake gasket leaking . removed and replaced intake gasket .,intake gasket,leaking,removed; replaced
102013,left-hand number 3 rocker cover leaking . for corrective action .,rocker cover,leaking,corrective action
102014,number 2 engine left rear baffle cracked at inter - cylinder connect . installed sheet metal doubler and stop drilled .,engine; baffle; cylinder; sheet metal doubler,cracked,installed; stop drilled
102015,number 2 rocker gasket is leaking . replaced gasket .,rocker gasket; gasket,leaking,replaced
102016,number 1 and 3 baffle tie wire loose . resecured tie wire .,baffle tie wire; tie wire,loose,resecured
102017,number 2 and 4 intake gaskets are leaking . replaced gaskets .,intake gaskets; gaskets,leaking,replaced
102018,"bolt missing connecting upper ends of number 3 and 4 aft baffles . installed new bolt , washer and nut .",bolt; connecting upper ends; upper ends; baffles; washer; nut,missing,installed
102019,right-hand rear engine baffle mounting screw loose . tightened screw .,engine; baffle mounting screw; screw,loose,tightened
102020,"cracked front upper right-hand side engine baffle on number 1 cylinder . removed old cracked patch , riveted new patch on baffle",engine; baffle; cylinder; patch,cracked,removed; riveted
102021,number 4 rocker gasket is leaking . replaced rocker gasket .,rocker gasket,leaking,replaced
102022,"on approach , engine roughness about 7 - 10 secs . adjusted mi . performed ground run , all systems operations checked good .",engine,roughness,adjusted; ground run; systems operations checked
102023,"on approach , engine roughness about 7 - 10 secs . adjusted mi . inspected engine , found cylinder number 2 intake leak . removed and r",engine; cylinder; intake,roughness; leak,adjusted; inspected; removed
102024,"performing ground ref man , throttle was at 1600 rpm , throttl . ran aircraft , engine ran very rough . number 2 and 3 egt ' s were much",throttle; throttl; aircraft; engine,ran very rough,ran
102025,"performing ground ref man , throttle was at 1600 rpm , throttl . inspected , found exhaust valve contacted piston . began",throttle; throttl; exhaust valve; piston,contacted,inspected
102026,"performing ground ref man , throttle was at 1600 rpm , throttl . reamed exhaust valve guides on number 1 , 2 and 4 cylinders in accordance with",throttle; throttl; exhaust valve guides; cylinders,,reamed
102027,"performing ground ref man , throttle was at 1600 rpm , throttl . ran engine , operations and leak check good . installed cowl and inches miner",throttle; throttl; engine; cowl,,ran; operations; leak check; installed
102028,"performing ground ref man , throttle was at 1600 rpm , throttl . installed baffles . direct drive overh",throttle; throttl; baffles,,installed
102029,"performing ground ref man , throttle was at 1600 rpm , throttl . removed number 3 aft cylinder ass and installed repaired cylinder assembly ki",throttle; throttl; cylinder ass; cylinder assembly,,removed; installed
102030,engine cowl dzus fasteners need retainers . installed fasteners .,engine; cowl dzus fasteners; retainers; fasteners,,installed
102031,"right-hand engine shutdown on landing , was able to restart and taxi . ran up engine , adjusted mixture and idle , operations check good .",engine,shutdown,ran up; adjusted; operations check
102032,number 2 intake on right-hand engine leaking . removed and replaced intake gasket .,intake; engine; intake gasket,leaking,removed; replaced
102033,right-hand engine number 3 rocker cover leaking . removed and replaced rocker cover gasket .,engine; rocker cover; rocker cover gasket,leaking,removed; replaced
102034,number 2 and 4 rocker cover on right-hand engine leaking . removed and replaced rocker cover gaskets .,rocker cover; engine; rocker cover gaskets,leaking,removed; replaced
102035,left-hand engine number 3 rocker cover leaking . removed and replaced rocker cover gasket on left-hand engine number 3 .,engine; rocker cover; rocker cover gasket,leaking,removed; replaced
