pair_id,query_id,query_problem,candidate_problem,problem_relevance_0_1_2,phase_a_notes
MR-5d410d32ecc54d8f,104863,#1 CYL INTAKE LEAKS.,L/H ENG CYL #4 INTAKE IS LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1 versus 4)."
MR-66a7eec5db0a9e11,100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,"BAFFLING CRACKED, R/H ENG BY #4 CYLINDER.",2,"Same core problem with compatible recorded component, defect, and context."
MR-a03881b03e9d915f,101410,REAR R/H ENGINE BAFFLE BRACKET CRACKED.,BAFFLE BRACKET CRACKED ON #3 CYLINDER.,1,"Same cracked baffle bracket, but rear R/H-engine versus cylinder-3 location differs materially."
MR-f26a49bd6f9b7763,100095,ROCKER BOX COVER SCREWS LOOSE.,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,0,Different core problems: rocker-cover loose screws versus baffle seal defect.
MR-dc2f7203f727bb91,101371,AFT BAFFLE BRACKET MISSING SCREW.,R/H SIDE BAFFLE IS MISSING A SCREW.,1,"Both involve a missing baffle screw, but an aft support bracket and a R/H side baffle are materially different targets."
MR-6a157744b114ef8c,101238,#2 & 4 INTAKES ARE LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3)."
MR-1cbb16e95426cbfd,105590,EVIDENCE OF CARB FIRE ON L/H CARB AIRBOX.,ROCKER COVER FOR CYL #1 IS LEAKING.,0,Different core problems: carb-airbox fire versus rocker-cover gasket defect.
MR-79da9648baee1ee7,103676,#4 CYL ROCKER COVER IS MISSING SCREW.,"MISSING SCREW ON ENG BAFFLE AFT & NEXT TO CYL #3, SCREW MOUN",0,Different core problems: rocker-cover missing screw versus baffle missing hardware.
MR-91b5a35d978da3dd,102604,#4 INTAKE LEAKS.,"R/H ENGINE #4 INTAKE LEAKING, AND #3 INTAKE.",1,"Same intake leak, but the specified cylinder set conflicts (4 versus 3,4)."
MR-7f3d0c2b54fb7d8a,100716,R/H ENG CORNER BRACKET BY PROP CABLE IS CRACKED.,"L/H ENG, AFT BAFFLING CRACKED BEHIND CYL #4.",0,Different core problems: structural crack versus baffle crack.
MR-037fca7b2f2ed84d,106168,"DURING RUN UP, #2 CYL WAS COLD & ENGINE SHOCK VIOLENTLY (ENG","ENGINE BAFFLE CRACKED, AFT OF #3 CYL, L/H ENG.",0,Different core problems: engine rough/cold cylinder versus baffle crack.
MR-006b2eca065e859b,106156,BAFFLE PLUG DAMAGED.,BAFFLE PLUG WORN.,2,"Same core problem with compatible recorded component, defect, and context."
MR-83cbd8ac794081e6,103623,FOUND BROKEN COVER SCREW ON GROUND.,SUPPORT FROM #4 CYL AFT BAFFLE TO CRANKCASE HALF IS BROKEN O,0,Only the generic broken condition overlaps; a cover screw and an aft-baffle support are different maintenance problems.
MR-87ae5a8e5036c08b,101430,ENGINE OVER RIDE SPEED WAS 1225 RPM.,"RIGHT ENGINE, LEFT MAG DROPPED 200+.",0,Different core problems: idle override speed versus magneto drop.
MR-5be7fa64105fc22a,101668,"ROCKER COVER GASKETS #2, 3 TORN.","CYL #2, 3 ROCKER COVER GASKETS LEAKING.",1,"Same component area, but defect differs: torn versus leaking."
MR-49484a0bf3a246de,101264,CYL #3 ROCKER COVER IS MISSING A SCREW.,"MISSING SCREW ON ENG BAFFLE AFT & NEXT TO CYL #3, SCREW MOUN",0,Different core problems: rocker-cover missing screw versus baffle missing hardware.
MR-631241144c1d3258,100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,CRACK IN R/H AFT ENGINE BAFFLE.,1,"Same baffle crack, but engine side conflicts (left versus right)."
MR-5f976d527ce0923c,101116,"L/H ENG, #4 INDUCTION TUBE GASKET LEAKING.","#2 & 4 INTAKE GASKETS ARE LEAKING, L/H ENG.",1,"Same intake leak, but the specified cylinder set conflicts (4 versus 2,4)."
MR-c755d2e2a23afb30,101225,"CRACK ON ENGINE BAFFLE, LEFT SIDE, BY #3 CYLINDER.",ENGINE BAFFLE CRACKED ABOVE #1 CYL.,1,"Same baffle crack, but the specified cylinder set conflicts (3 versus 1)."
MR-2fad5c4d84cf2828,103173,#2 & 4 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3)."
MR-8d85ee2285a2b4f1,103373,"R/H FWD BAFFLE, #1 CYL SIDE, HAS A CRACK.","ENGINE BAFFLE CRACKED, AFT OF #3 CYL, L/H ENG.",1,"Same baffle crack, but engine side conflicts (right versus left)."
MR-b4f0b9277182b134,104582,#2 LOWER INTAKE CLAMP LOOSE.,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,0,Different core problems: intake clamp loose versus baffle seal defect.
MR-ec1ede12eda5b091,103943,ALL ROCKER COVER SCREWS LOOSE.,#2 & 4 CYL ROCKER COVER SCREWS ARE LOOSE.,1,"Same loose rocker-cover screws, but all cylinders versus only cylinders 2 and 4 is a material scope mismatch."
MR-36aeb633f51bf156,103656,OIL COOLERS DIRTY.,SNIFFLER VALVES DIRTY.,0,Different core problems: oil-cooler contamination versus contamination.
MR-19aa0b24b0a7c070,100568,ENGINE BAFFLE PLUG TABS BROKEN.,R/H ENGINE BAFFLE PLUG BROKEN.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-5f879c2821817cdb,101744,BAFFLE BUTTON PLUG IS WORN.,L/H BAFFLE BUTTON PLUG IS BROKEN.,1,"Same baffle-button plug, but the recorded condition conflicts: worn versus broken."
MR-a2cfba38effb321f,100155,#2 ROCKER BOX COVER SCREWS LOOSE.,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,0,Different core problems: rocker-cover loose screws versus baffle seal defect.
MR-df744db05a262217,105157,L/H #4 ROCKER COVER GASKET LEAKS.,"CYL #4, 1 ROCKER COVER GASKET LEAKING.",1,"Same rocker-cover gasket defect, but the specified cylinder set conflicts (4 versus 1,4)."
MR-ba074341495fcb1b,105742,#4 CYL HAS LOW COMPRESSION.,CYL #2 COMPRESSION LOW. AIR NOTED & OBSERVED OUT OF EXHAUST.,1,"Same low cylinder compression, but the specified cylinder set conflicts (4 versus 2)."
MR-5f6459e58eed32f9,101101,OIL LEAK EVIDENCE ON R/H SIDE OF ENGINE.,L/H SIIDE OF ENGINE CASE PLUG LEAKING OIL.,1,"Same engine oil leak, but engine side conflicts (right versus left)."
MR-3272cc715076445e,102316,ENGINE AFT BAFFLE CYL #3 AREA HAS SHEARED RIVETS ON SUPPORT,"AFT BAFFLE, R/H SIDE OF ENGINE, HAS SHEARED RIVET.",2,"Same core problem; engine side and cylinder/location are stated on only one side, without contradiction."
MR-c4576ad744b918a8,100623,ROCKER BOX COVER SCREWS LOOSE.,GROUNDING POINTS ON ENG & FIREWALL LOOSE.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.
MR-4736e6f16df8b365,100392,R/H #4 SIDE BAFFLE MISSING BOLTS.,HARDWARE MISSING FROM #3 BAFFLE.,1,"Same baffle missing hardware, but the specified cylinder set conflicts (4 versus 3)."
MR-d29f7e1112c1284c,105940,2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4)."
MR-9f13b4bb2b0bc7f1,100081,#2 INTAKE LEAKS.,R/H ENG #4 INTAKE IS LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2 versus 4)."
MR-f96df1b49ed6ae27,102381,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,R/H ENG #2 & 3 ROCKER GASKETS ARE LEAKING.,0,Different core problems: intake leak versus rocker-cover gasket defect.
MR-21c9cc28263fca4e,106106,L/H ENGINE #4 BAFFLE CRACKED.,CRACK IN R/H AFT ENGINE BAFFLE.,1,"Same baffle crack, but engine side conflicts (left versus right)."
MR-457291e42f715a9e,103943,ALL ROCKER COVER SCREWS LOOSE.,ALL ROCKER COVER SCREWS LOOSE & 1 MISSING.,1,"Related maintenance area, but core problem differs: rocker-cover loose screws versus rocker-cover missing screw."
MR-c3a120cf3ded5999,101898,#3 INDUCTION TUBE GASKET LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (3 versus 2,4)."
MR-276a49cbbd6ac873,102381,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,R/H ENG #3 INTAKE IS LEAKING.,1,"Same intake leak, but engine side conflicts (left versus right)."
MR-c3240fcb36f76fff,106156,BAFFLE PLUG DAMAGED.,LEFT BAFFLE PLUG IS WORN.,2,"Same core problem with compatible recorded component, defect, and context."
MR-be76fb1104bb005a,104623,INSPECTED & FOUND CRANKSHAFT TO BE GOUGED BEHIND CRANKSHAFT,"#1, 2, & 6 COWL MOUNTS ARE TORN.",0,Different core problems: crankshaft gouge versus other.
MR-62b53d5f1d3015e9,105610,#3 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (3,4 versus 2,4)."
MR-5fd2304ceec94f49,100540,#1 INTAKE GASKET LEAKS.,#4 INTAKE GASKET IS LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1 versus 4)."
MR-0916d306b175f4d3,103274,INTAKES #2 & 4 LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-ca11e5f38a081386,101698,#4 INTAKE TUBE LOOSE.,#2 CYL INTAKE TUBE BOLT BROKEN.,1,"Same component area, but defect differs: loose versus broken."
MR-2eca0dd7dde470e6,104264,#3 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (3,4 versus 2,3,4)."
MR-9844bd23e6130aaa,105157,L/H #4 ROCKER COVER GASKET LEAKS.,#2 ROCKER COVER GASKET LEAKING.,1,"Same rocker-cover gasket defect, but the specified cylinder set conflicts (4 versus 2)."
MR-217ee2f8b02a34ec,103074,"R/H ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET",R/H REAR ENGINE BAFFLE MOUNTING SCREW LOOSE.,1,"Related maintenance area, but core problem differs: cowl/engine seal loose versus loose hardware/component."
MR-9ae525c2e9513705,100636,R/H ENGINE #3 INDUCTION TUBE GASKET LEAKING.,R/H ENGINE CYL #3 INTAKE GASKET LEAKING.,2,"Same core problem with compatible recorded component, defect, and context."
MR-b656bff4ac5dd9ac,103758,"L/H ENG, L/H FWD BAFFLE SEAL IS LOOSE.",R/H ENG #2 CYL BAFFLE SEAL LOOSE.,1,"Same baffle seal defect, but engine side conflicts (left versus right)."
MR-9c2295fbb5f65b0d,103074,"R/H ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET",#4 BAFFLE HAS LOOSE HARDWARE ON R/H ENGINE.,1,"Related maintenance area, but core problem differs: cowl/engine seal loose versus loose hardware/component."
MR-d72ae8e4deb92880,104515,#2 & 1 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,2 versus 2,3,4)."
MR-94a5f1da799ec387,103796,1 BAFFLE BUTTON WORN.,R/H ENGINE #1 CYL EXHAUST ROCKER WORN ON SHAFT.,0,Different core problems: baffle plug defect versus wear.
MR-11ba17258f7383bd,100515,#3 ROCKER COVER GASKET IS TORN.,ROCKER COVER GASKET FROM #3 CYLINDER TORN.,2,"Same core problem with compatible recorded component, defect, and context."
MR-132a4d0f9fbae7c9,101458,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,"ENGINE RUNNING ROUGH, #2 CYL EGT LOW.",0,Different core problems: low cylinder compression versus other.
MR-2fd8e002f177c3d8,105306,#2 & 4 INTAKES LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-7d414807e827883d,103145,INTAKES #1 & 2 LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (1,2 versus 2,4)."
MR-3c2cebfa6d6c4400,100568,ENGINE BAFFLE PLUG TABS BROKEN.,L/H SIDE BAFFLE PLUG HAS BROKEN TABS.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-580ad08f37f85dd2,104677,BLACK FWD COWL (ENG) SEAL WORN BY INTAKE FILTER.,ENG FWD SEAL (BLACK) WORN SPOTS AT AIR INLET.,2,"Same core problem with compatible recorded component, defect, and context."
MR-93bac668d05752d7,100629,#2 INTAKE GASKET LEAKS.,"R/H ENGINE, CYL #3 INTAKE GASKET IS LEAKING.",1,"Same intake leak, but the specified cylinder set conflicts (2 versus 3)."
MR-af203eca0f3bc3cb,104219,BOTH OIL COOLERS DIRTY.,SNIFFLE VALVES DIRTY.,0,Different core problems: oil-cooler contamination versus contamination.
MR-7f7a5319d10f38ad,106168,"DURING RUN UP, #2 CYL WAS COLD & ENGINE SHOCK VIOLENTLY (ENG",R/H ENGINE #1 CYL EXHAUST ROCKER WORN ON SHAFT.,0,Different core problems: engine rough/cold cylinder versus wear.
MR-2368a23aa2f2e9bb,101238,#2 & 4 INTAKES ARE LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4)."
MR-d89a1addc88ba34c,103758,"L/H ENG, L/H FWD BAFFLE SEAL IS LOOSE.",BAFFLE SEAL LOOSE ON R/H ENG #1 SIDE BAFFLE.,1,"Same baffle seal defect, but engine side conflicts (left versus right)."
MR-06e70e4e97aeaeda,105742,#4 CYL HAS LOW COMPRESSION.,CYL #3 HAD LOW COMPRESSION (50/80).,1,"Same low cylinder compression, but the specified cylinder set conflicts (4 versus 3)."
MR-47f4c6064e70f04f,105048,#2 & 4 INTAKES LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-fe9131d77a7cb27b,104677,BLACK FWD COWL (ENG) SEAL WORN BY INTAKE FILTER.,"FWD ENG SEAL WORN ABOVE VACUUM PUMP, R/H SIDE.",1,"Same worn forward engine seal, but intake-filter versus vacuum-pump location is a material mismatch."
MR-166b3077daedd5c0,105029,#1 FWD BAFFLE SEAL LOOSE.,"AFT BAFFLE SEAL LOOSE, R/H SIDE.",1,"Same baffle seal defect, but the specified location conflicts (front versus aft)."
MR-303660abc56a73ca,100848,OIL COOLER HOSE REQUIRES REPOSITIONING.,L/H ENG OIL COOLER HOSE IS POSITIONED TOO CLOSE TO OIL FILTE,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-c5092d155552ab79,105048,#2 & 4 INTAKES LEAKING.,L/H ENG #2 & 3 INTAKES ARE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3)."
MR-cde87041a2bb28d4,100772,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,"#2 & 4 INTAKE GASKETS ARE LEAKING, L/H ENG.",1,"Same intake leak, but the specified cylinder set conflicts (3 versus 2,4)."
MR-52c02d213a65f946,101238,#2 & 4 INTAKES ARE LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4)."
MR-03f229f9e4fbe797,101930,#1 CYL HAS LOW COMPRESSION.,LOW COMPRESSION ON CYL #3 (55).,1,"Same low cylinder compression, but the specified cylinder set conflicts (1 versus 3)."
MR-c6622e0977c1ab2d,100772,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,R/H ENG #2 & 3 ROCKER GASKETS ARE LEAKING.,0,Different core problems: intake leak versus rocker-cover gasket defect.
MR-96c0154e6a977d1d,101430,ENGINE OVER RIDE SPEED WAS 1225 RPM.,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",0,Different core problems: idle override speed versus other.
MR-0ff5426534aa9422,104621,INSPECTED & FOUND CRANKSHAFT TO BE GOUGED BEHIND CRANKSHAFT,ADEL CLAMP TORN BY R/H ENGINE MOUNT.,0,Different core problems: crankshaft gouge versus other.
MR-2b0a6fc1611e7689,101101,OIL LEAK EVIDENCE ON R/H SIDE OF ENGINE.,R/H ENGINE LIFTING EYE BOLT LEAKING OIL.,2,"Same core problem with compatible recorded component, defect, and context."
MR-5dc2e0573ff3bf35,100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,"L/H ENGINE, ENGINE BAFFLE CRACKED AT OIL COOLER.",1,"Same cracked L/H engine baffle, but cylinder-4 aft versus oil-cooler location differs materially."
MR-0833e21aca3cfb18,101598,CYL #2 & 3 INTAKES ARE LEAKING.,"CYL #1 & 3 INTAKES ARE LEAKING, L/H ENG.",1,"Same intake leak, but the specified cylinder set conflicts (2,3 versus 1,3)."
MR-a59874cea0ba56a9,104031,#4 AFT BAFFLE CRACKED.,#2 FWD BAFFLE CRACKED BEYOND STOP DRILL.,1,"Same baffle crack, but the specified cylinder set conflicts (4 versus 2)."
MR-5adfee247ed06144,101980,"R/H ENG #2, 3 & 4 ROCKER BOX COVERS LEAKING.",L/H ENG #3 ROCKER COVER IS LEAKING.,1,"Same rocker-cover gasket defect, but engine side conflicts (right versus left)."
MR-337d96636391b21d,102624,COWL SEAL BY #2 CYL NEEDS TO BE REATTCHED TO BAFFLING.,#1 CYL BAFFLING HAS A CRACK.,1,"Related maintenance area, but core problem differs: baffle seal defect versus baffle crack."
MR-48d0ee61681b3785,100264,#3 INTAKE LEAKING AT CLAMP.,"#3 INTAKE LEAKING ON L/H ENGINE, ALONG W/ #2.",1,"Same intake leak, but the specified cylinder set conflicts (3 versus 2,3)."
MR-9eacc512ed3b06ee,104702,L/H ENG #2 CYL HAS LOW COMPRESSION.,R/H ENG #4 CYL HAS LOW COMPRESSION (20/80 PSI).,1,"Same low cylinder compression, but engine side conflicts (left versus right)."
MR-1c90c94bf0938ae6,105590,EVIDENCE OF CARB FIRE ON L/H CARB AIRBOX.,"OIL PRESENT ON ENGINE, R/H SIDE. OIL SPRAYED BELOW & AFT.",0,Different core problems: carb-airbox fire versus engine oil leak.
MR-d009253f83ff7223,100392,R/H #4 SIDE BAFFLE MISSING BOLTS.,"R/H ENG #3 CYL SIDE BAFFLE, BOTH BOLTS MISSING.",1,"Same baffle missing hardware, but the specified cylinder set conflicts (4 versus 3)."
MR-f186eeeaf8724837,103796,1 BAFFLE BUTTON WORN.,L/H ENG SNIFFLER VALVE HOSE ADEL CLAMP RUBBER IS WORN OUT.,0,Different core problems: baffle plug defect versus wear.
MR-91ad3c2761e74da1,100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,CYL #1 & 3 SIDE BAFFLE BOLT IS LOOSE.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.
MR-3d75ab1bce003b93,100991,#2 INDUCTION TUBE GASKET LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2 versus 2,4)."
MR-470ad8f0245396e2,100155,#2 ROCKER BOX COVER SCREWS LOOSE.,L/H UPPER BAFFLE LOOSE ABOVE #2 CYLINDER.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.
MR-e5b897ddca3a5ee8,105610,#3 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (3,4 versus 2,3,4)."
MR-4c5920af135286b6,101116,"L/H ENG, #4 INDUCTION TUBE GASKET LEAKING.",L/H ENG #3 INTAKE IS LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (4 versus 3)."
MR-189f92435e66943d,101698,#4 INTAKE TUBE LOOSE.,CYL #1 INTAKE TUBE IS LOOSE.,1,"Same intake tube loose/damaged, but the specified cylinder set conflicts (4 versus 1)."
MR-2f6af32e9573f04b,105178,#1 ROCKER COVER GASKET LEAKS.,#2 ROCKER COVER GASKET LEAKING.,1,"Same rocker-cover gasket defect, but the specified cylinder set conflicts (1 versus 2)."
MR-57d7cce45ba762e9,105116,"R/H BAFFLE SEAL, BY #2 CYL, TORN.",R/H ENGINE #1 CYL SIDE BAFFLE SEAL IS TORN.,1,"Same baffle seal defect, but the specified cylinder set conflicts (2 versus 1)."
MR-fedffbc0cc09de69,103373,"R/H FWD BAFFLE, #1 CYL SIDE, HAS A CRACK.",SMALL CRACK NOTED BY BOLT ON #1 CYL BAFFLE OF R/H ENGINE.,2,"Same core problem; position is stated on only one side, without contradiction."
MR-fea1675d88189585,102604,#4 INTAKE LEAKS.,#3 & 4 INTAKE LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (4 versus 3,4)."
MR-12d683176ac182ca,101264,CYL #3 ROCKER COVER IS MISSING A SCREW.,SCREW MISSING FROM CYL #2 FWD BAFFLE.,0,Different core problems: rocker-cover missing screw versus baffle missing hardware.
MR-5340ac178f90257c,100264,#3 INTAKE LEAKING AT CLAMP.,#3 INTAKE LEAKING ON R/H ENGINE.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-28726fe1c4593cf3,104623,INSPECTED & FOUND CRANKSHAFT TO BE GOUGED BEHIND CRANKSHAFT,CRANKSHAFT FRONT SEAL NEEDS TO BE REPLACED.,1,"Related maintenance area, but core problem differs: crankshaft gouge versus crankshaft seal."
MR-be8492cbe7b2ce1d,103087,#2 & 4 INTAKES LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (2,4 versus 2,3,4)."
MR-92f44063a7b8a922,105286,#1 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (1,4 versus 2,4)."
MR-3313d73e6515b653,100081,#2 INTAKE LEAKS.,"R/H ENGINE #4 INTAKE LEAKING, AND #3 INTAKE.",1,"Same intake leak, but the specified cylinder set conflicts (2 versus 3,4)."
MR-d9d65fab98e36eee,100958,#4 ROCKER COVER SCREWS LOOSE.,SOME ROCKER COVER SCREWS LOOSE.,2,"Same core problem; cylinder/location is stated on only one side, without contradiction."
MR-3e7898d4dcc81693,104677,BLACK FWD COWL (ENG) SEAL WORN BY INTAKE FILTER.,"ENG FWD LWR BLACK SEAL HAS WORN SPOTS, ABOVE AIR INTAKE.",2,"Same core problem with compatible recorded component, defect, and context."
MR-ba7b669fbe6738a9,103758,"L/H ENG, L/H FWD BAFFLE SEAL IS LOOSE.",R/H ENG #4 AFT BAFFLE SEAL LOOSE.,1,"Same baffle seal defect, but engine side conflicts (left versus right)."
MR-1de226c00632f0b6,103274,INTAKES #2 & 4 LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-59cbc75c193de91b,101434,"R/H ENG CYL #4, 3 INTAKE GASKETS LEAKING.","R/H ENG CYL #2, 3, 4 INTAKE GASKETS LEAKING.",1,"Same intake leak, but the specified cylinder set conflicts (3,4 versus 2,3,4)."
MR-1ef5da946b910e6c,106132,R/H ENG #2 CYL PUSH ROD END & ROCKER SCORED.,#1 CYL ROCKER ARM & PUSH ROD GALLED ON EXHAUST SIDE.,1,"Same pushrod/rocker damage, but the specified cylinder set conflicts (2 versus 1)."
MR-bf8660cfb80a1dfe,101980,"R/H ENG #2, 3 & 4 ROCKER BOX COVERS LEAKING.",R/H ENG #3 INTAKE IS LEAKING.,0,Different core problems: rocker-cover gasket defect versus intake leak.
MR-d29d948efb65f05b,104863,#1 CYL INTAKE LEAKS.,CYL #2 INTAKE LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (1 versus 2)."
MR-e4167fe57c15c87b,101980,"R/H ENG #2, 3 & 4 ROCKER BOX COVERS LEAKING.",R/H ENG #2 & 3 ROCKER GASKETS ARE LEAKING.,1,"Same rocker-cover gasket defect, but the specified cylinder set conflicts (2,3,4 versus 2,3)."
MR-640fe52d61a4e2c8,100308,"#2, 3 & 4 ROCKER BOX COVER SCREWS LOOSE.",L/H UPPER BAFFLE LOOSE ABOVE #2 CYLINDER.,0,Different core problems: rocker-cover loose screws versus loose hardware/component.
MR-3ff7574681fbdc38,104621,INSPECTED & FOUND CRANKSHAFT TO BE GOUGED BEHIND CRANKSHAFT,"#1, 2, & 6 COWL MOUNTS ARE TORN.",0,Different core problems: crankshaft gouge versus other.
MR-ad4b13270ed0fea3,104702,L/H ENG #2 CYL HAS LOW COMPRESSION.,R/H ENG #1 CYL HAS LOW COMPRESSION 5/80.,1,"Same low cylinder compression, but engine side conflicts (left versus right)."
MR-0666e15565f819e4,100541,ALL ROCKER COVER SCREWS ARE LOOSE.,ALL ROCKER COVER SCREWS ARE LOOSE ON L/H ENGINE.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-1a67f2105bb66ca4,103145,INTAKES #1 & 2 LEAKING.,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",1,"Same intake leak, but the specified cylinder set conflicts (1,2 versus 2,3,4)."
MR-3215a39e31dd974e,105742,#4 CYL HAS LOW COMPRESSION.,LOW COMPRESSION ON CYL #3 (55).,1,"Same low cylinder compression, but the specified cylinder set conflicts (4 versus 3)."
MR-a415621d3b3b6cca,104157,#2 & 3 INTAKES LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (2,3 versus 2,4)."
MR-aef2fd79902fef07,103623,FOUND BROKEN COVER SCREW ON GROUND.,L/H ENGINE OIL COOLER TO ENGINE LIFTING EYE BRACKET BROKEN.,0,Only the generic broken condition overlaps; a cover screw and an oil-cooler lifting-eye bracket are different problems.
MR-25f3ad33fa0c69a4,103145,INTAKES #1 & 2 LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (1,2 versus 2,4)."
MR-cda226687dc3aa89,102604,#4 INTAKE LEAKS.,CYL #2 INTAKE LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (4 versus 2)."
MR-ba36bfcec1126c7d,103598,L/H ENGINE BAFFLE CRACKED.,FRONT & L/H ENGINE BAFFLE CRACKED.,2,"Same core problem; position is stated on only one side, without contradiction."
MR-38a61dc44ecde8ed,103373,"R/H FWD BAFFLE, #1 CYL SIDE, HAS A CRACK.",R/H #1 CYL BAFFLE HAS A CRACK.,2,"Same core problem; position is stated on only one side, without contradiction."
MR-33175a539022938a,103796,1 BAFFLE BUTTON WORN.,"ENG FWD LWR BLACK SEAL HAS WORN SPOTS, ABOVE AIR INTAKE.",1,"Related maintenance area, but core problem differs: baffle plug defect versus cowl/engine seal wear."
MR-4aceb63f2dba647a,105940,2 & 4 INTAKES LEAKING.,L/H ENGINE #2 & 4 INTAKES LEAKING.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-caf1fb9e05e1e787,100392,R/H #4 SIDE BAFFLE MISSING BOLTS.,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",1,"Related maintenance area, but core problem differs: baffle missing hardware versus baffle seal defect."
MR-d2a11a3785ed8465,100568,ENGINE BAFFLE PLUG TABS BROKEN.,BAFFLE PLUG ABOVE #4 CYL HAS BROKEN TABS.,2,"Same core problem; cylinder/location and position are stated on only one side, without contradiction."
MR-b4d650b742244d1c,105157,L/H #4 ROCKER COVER GASKET LEAKS.,#1 ROCKER COVER GASKET IS LEAKING.,1,"Same rocker-cover gasket defect, but the specified cylinder set conflicts (4 versus 1)."
