ID,PROBLEM,ACTION,CLEANED,EDIT
101272,#2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED GASKET WITH NEW.,
101273,CYLINDER #3 ROCKER COVER IS LEAKING.,REPLACED ROCKER COVER GASKET.,CYLINDER NUMBER THREE ROCKER COVER IS LEAKING. REPLACED ROCKER COVER GASKET.,
101274,"#2 & 1 INTAKE, R/H ENGINE, LEAKING.",REMOVED & REPLACED GASKETS.,"NUMBER TWO AND NUMBER ONE INTAKE, RIGHT-HAND ENGINE, LEAKING. REMOVED AND REPLACED GASKETS.",
101275,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER IS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101276,"L/H ENG INTAKE GASKET, CYL #2, LEAKING.",REMOVED & REPLACED GASKET FOR L/H ENG CYL #2 INTAKE.,"LEFT-HAND ENGINE INTAKE GASKET, CYLINDER NUMBER TWO, LEAKING. REMOVED AND REPLACED GASKET FOR LEFT-HAND ENGINE CYLINDER NUMBER TWO INTAKE.",
101277,"L/H ENG CYL #1, 2 & 3 ROCKER COVER GASKETS LEAKING.","REMOVED & REPLACED L/H ENG CYL #1, 2, 3 ROCKER COVER GA","LEFT-HAND ENGINE CYLINDER NUMBERS ONE, TWO AND THREE ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED LEFT-HAND ENGINE CYLINDER NUMBERS ONE, TWO, AND THREE ROCKER COVER GASKETS",CUTOFF - C
101278,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS ON CYL #1 & 2.,NUMBER TWO ROCKER COVER IS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS ON CYLINDER NUMBER ONE AND NUMBER TWO.,
101279,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO ROCKER COVER IS LEAKING. REMOVED AND REPLACED GASKET.,
101280,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING. REMOVED AND REPLACED GASKET.,
101281,#6 COWL SHOCK MOUNT TORN.,REMOVED & REPLACED COWL SHOCK MOUNT.,NUMBER SIX COWL SHOCK MOUNT TORN. REMOVED AND REPLACED COWL SHOCK MOUNT.,
101282,#2 INTAKE LEAKING ON L/H ENGINE.,REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,
101283,#3 ROCKER COVER LEAKING ON L/H ENGINE.,REMOVED & REPLACED #3 ROCKER GASKET.,NUMBER THREE ROCKER COVER LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED NUMBER THREE ROCKER GASKET.,
101284,ROCKER COVERS 1 & 3 LEAKING ON R/H ENGINE.,REMOVED & REPLACED ROCKER GASKETS.,ROCKER COVERS ONE AND THREE LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED ROCKER GASKETS.,
101285,ROCKER COVER GASKET #3 TORN.,REMOVED & REPLACED ROCKER COVER GASKET.,ROCKER COVER GASKET NUMBER THREE TORN. REMOVED AND REPLACED ROCKER COVER GASKET.,
101286,L/H & R/H ENGINE BAFFLE PLUGS DAMAGED.,REMOVED & REPLACED L/H & R/H ENGINE BAFFLE PLUGS.,LEFT-HAND AND RIGHT-HAND ENGINE BAFFLE PLUGS DAMAGED. REMOVED AND REPLACED LEFT-HAND AND RIGHT-HAND ENGINE BAFFLE PLUGS.,
101287,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,LEFT-HAND ENGINE NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
101288,L/H ENG #3 CYL ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,LEFT-HAND ENGINE NUMBER THREE CYLINDER ROCKER COVER GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
101289,#3 INTAKE TUBE RUBBING ON BAFFLE.,ADJUSTED BAFFLE.,NUMBER THREE INTAKE TUBE RUBBING ON BAFFLE. ADJUSTED BAFFLE.,
101290,#2 INTAKE TUBE LEAKS AT CYLINDER.,REMOVED & REPLACED INTAKE TUBE GASKET & SEAL.,NUMBER TWO INTAKE TUBE LEAKS AT CYLINDER. REMOVED AND REPLACED INTAKE TUBE GASKET AND SEAL.,
101291,LOOSE ENGINE GROUND.,TIGHTENED ENGINE GROUND CABLE.,LOOSE ENGINE GROUND. TIGHTENED ENGINE GROUND CABLE.,
101292,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.,INTAKE GASKET CYLINDER NUMBER FOUR LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101293,ROCKER COVER GASKET CYL #4 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,ROCKER COVER GASKET CYLINDER NUMBER FOUR LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101294,BAFFLE SUPPORT STEEL ROD CYL #2 & 4 MISSING.,INSTALLED NEW BAFFLE FASTENER FOR CYL #2 & 4.,BAFFLE SUPPORT STEEL ROD CYLINDER NUMBER TWO AND NUMBER FOUR MISSING. INSTALLED NEW BAFFLE FASTENER FOR CYLINDER NUMBER TWO AND NUMBER FOUR.,
101295,INTAKE GASKETS CYL #2 & #4 LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,INTAKE GASKETS CYLINDER NUMBER TWO AND NUMBER FOUR LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
101296,"ROCKER COVER GASKETS, CYL #2 & 4 LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"ROCKER COVER GASKETS, CYLINDER NUMBER TWO AND NUMBER FOUR LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.",
101297,#3 CYL AFT BAFFLE BRACKET LOOSE. BRACKET SECURED TO ENGINE C,"REMOVED #3 AFT BAFFLE, REPLACED SCREWS IN BRACKET. REIN","NUMBER THREE CYLINDER AFT BAFFLE BRACKET LOOSE. BRACKET SECURED TO ENGINE. REMOVED NUMBER THREE AFT BAFFLE, REPLACED SCREWS IN BRACKET. REINSTALLED","CUTOFF - C, CUTOFF - T"
101298,R/H BAFFLE PLUG NEEDS TO BE REPLACED.,INSTALLED NEW BAFFLE PLUG.,RIGHT-HAND BAFFLE PLUG NEEDS TO BE REPLACED. INSTALLED NEW BAFFLE PLUG.,
101299,#3 ROCKER COVER GASKET IS TORN.,INSTALLED NEW #3 ROCKER BOX COVER GASKET.,NUMBER THREE ROCKER COVER GASKET IS TORN. INSTALLED NEW NUMBER THREE ROCKER BOX COVER GASKET.,
101300,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER LEAKING. REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET.,
101301,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,
101302,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE ROCKER COVER IS LEAKING. REMOVED AND REPLACED GASKET.,
101303,ROCKER COVER GASKET #3 TORN.,REMOVED & REPLACED ROCKER COVER GASKET.,ROCKER COVER GASKET NUMBER THREE TORN. REMOVED AND REPLACED ROCKER COVER GASKET.,
101304,SIDE BAFFLE PLUGS ARE MISSING FINGERS.,REPLACED W/ NEW PLUGS.,SIDE BAFFLE PLUGS ARE MISSING FINGERS. REPLACED WITH NEW PLUGS.,
101305,L/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,LEFT-HAND ENGINE NUMBER TWO AND NUMBER FOUR ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101306,ROCKER COVER GASKETS CYL #2 & 3 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,ROCKER COVER GASKETS CYLINDER NUMBER TWO AND NUMBER THREE LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101307,INTAKE TUBE LEAKING AT CONNECTION POINT W/ OIL SUMP CYL #4.,"CLEANED & PERFORMED ENGINE RUN UP, CONFIRMED DISCREPANC","INTAKE TUBE LEAKING AT CONNECTION POINT WITH OIL SUMP CYLINDER NUMBER FOUR. CLEANED AND PERFORMED ENGINE RUN UP, CONFIRMED DISCREPANCY",CUTOFF - C
101308,INTAKE TUBE LEAKING AT CONNECTION POINT W/ OIL SUMP CYL #4.,RESWAGED INTAKE PIPE IAW LYCOMING OVERHAUL MANUAL & INS,INTAKE TUBE LEAKING AT CONNECTION POINT WITH OIL SUMP CYLINDER NUMBER FOUR. RESWAGED INTAKE PIPE IN ACCORDANCE WITH LYCOMING OVERHAUL MANUAL,CUTOFF - T
101309,UPPER R/H BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.,UPPER RIGHT-HAND BAFFLE SEAL LOOSE. RESECURED BAFFLE SEAL.,
101310,"R/H ENGINE RUNNING ROUGH. ENGINE WAS FINE @ LOW ALTITUDES, O","RAN UP A/C, NO ENGINE ROUGHNESS NOTED. CHECKED GOOD AT","RIGHT-HAND ENGINE RUNNING ROUGH. ENGINE WAS FINE AT LOW ALTITUDES. RAN UP AIRCRAFT, NO ENGINE ROUGHNESS NOTED. CHECKED",CUTOFF - T
101311,CYL #4 AFT BAFFLE CRACKED.,STOP DRILLED CRACK ON BAFFLE.,CYLINDER NUMBER FOUR AFT BAFFLE CRACKED. STOP DRILLED CRACK ON BAFFLE.,
101312,CYL #4 & 2 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,CYLINDER NUMBER FOUR AND NUMBER TWO ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101313,INTAKE #2 LEAKING ON L/H ENGINE.,INSTALLED NEW INTAKE GASKET.,INTAKE NUMBER TWO LEAKING ON LEFT-HAND ENGINE. INSTALLED NEW INTAKE GASKET.,
101314,#2 ROCKER SHAFT THRUST PLUG BROKEN.,INSTALLED NEW ROCKER SHAFT THRUST BUTTON.,NUMBER TWO ROCKER SHAFT THRUST PLUG BROKEN. INSTALLED NEW ROCKER SHAFT THRUST BUTTON.,
101315,"ROCKER COVERS 2, 3 & 4 LEAKING ON L/H ENGINE.",INSTALLED NEW ROCKER BOX COVER GASKETS.,"ROCKER COVERS TWO, THREE AND FOUR LEAKING ON LEFT-HAND ENGINE. INSTALLED NEW ROCKER BOX COVER GASKETS.",
101316,LEFT REAR BAFFLE CRACKED ON R/H ENGINE.,REMOVED & REPLACED LEFT REAR BAFFLE ON R/H ENGINE.,LEFT REAR BAFFLE CRACKED ON RIGHT-HAND ENGINE. REMOVED AND REPLACED LEFT REAR BAFFLE ON RIGHT-HAND ENGINE.,
101317,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REPLACED GASKET.,
101318,#3 ROCKER GASKET IS LEAKING.,REPLACED ROCKER GASKET.,NUMBER THREE ROCKER GASKET IS LEAKING. REPLACED ROCKER GASKET.,
101319,L/H ENGINE CYL #2 & 3 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,LEFT-HAND ENGINE CYLINDER NUMBER TWO AND NUMBER THREE INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
101320,L/H ENGINE CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,LEFT-HAND ENGINE CYLINDER NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET.,
101321,"R/H ENGINE, CYL #3 ROCKER COVER GASKET LEAKING.",REMOVED & REPLACED #3 ROCKER COVER GASKET.,"RIGHT-HAND ENGINE, CYLINDER NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET.",
101322,#1 INTAKE GASKET LEAKING.,REPLACED GASKET.,NUMBER ONE INTAKE GASKET LEAKING. REPLACED GASKET.,
101323,#3 ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE ROCKER COVER GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
101324,ROCKER COVER GASKET ON CYL #2 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,ROCKER COVER GASKET ON CYLINDER NUMBER TWO LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101325,"SHEARED RIVET ON CYL #3 BAFFLE, AFT.",REPLACED RIVETS W/ SCREWS/WASHERS/NUTS.,"SHEARED RIVET ON CYLINDER NUMBER THREE BAFFLE, AFT. REPLACED RIVETS WITH SCREWS, WASHERS, AND NUTS.",
101326,#2 & 4 CYL ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101327,"CYL #3 INTAKE TUBE FLANGE LEAKING FUEL, CONNECTION BETWEEN T",RESWAGED INTAKE TUBE IAW LYCOMING OVERHAUL,CYLINDER NUMBER THREE INTAKE TUBE FLANGE LEAKING FUEL. RESWAGED INTAKE TUBE IN ACCORDANCE WITH LYCOMING OVERHAUL MANUAL,"CUTOFF - C, CUTOFF - T"
101328,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER BRACKET.,NUMBER ONE ROCKER COVER IS LEAKING. REMOVED AND REPLACED ROCKER COVER BRACKET.,
101329,TOP BAFFLE BACK SIDE RIVETS MISSING.,INSTALLED SCREWS WHERE RIVETS MISSING.,TOP BAFFLE BACK SIDE RIVETS MISSING. INSTALLED SCREWS WHERE RIVETS MISSING.,
101330,#1 CYLINDER STAND OFF IS BROKEN.,REMOVED & REPLACED PLASTIC HOLDER ON STAND OFF & RESECU,NUMBER ONE CYLINDER STANDOFF IS BROKEN. REMOVED AND REPLACED PLASTIC HOLDER ON STANDOFF AND RESECURED,CUTOFF - C
101331,#2 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER THREE ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101332,FWD R/H SIDE ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK IN FWD R/H ENGINE BAFFLE.,FORWARD RIGHT-HAND SIDE ENGINE BAFFLE CRACKED. STOP DRILLED CRACK IN FORWARD RIGHT-HAND ENGINE BAFFLE.,
101333,"CYL #1, 2 INTAKE GASKETS ARE LEAKING.","REMOVED & REPLACED CYL #1, 2 INTAKE GASKETS.",CYLINDER NUMBER ONE AND NUMBER TWO INTAKE GASKETS ARE LEAKING. REMOVED AND REPLACED CYLINDER NUMBER ONE AND NUMBER TWO INTAKE GASKETS.,
101334,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.,INTAKE GASKET CYLINDER NUMBER FOUR LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101335,ROCKER COVER GASKET CYL #2 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,ROCKER COVER GASKET CYLINDER NUMBER TWO LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101336,#3 INTAKE LEAKING ON L/H ENGINE.,REPLACED GASKET.,NUMBER THREE INTAKE LEAKING ON LEFT-HAND ENGINE. REPLACED GASKET.,
101337,BAFFLE CORNER BY CYL #4 CRACKED.,STOP DRILLED CRACK.,BAFFLE CORNER BY CYLINDER NUMBER FOUR CRACKED. STOP DRILLED CRACK.,
101338,"CYL #1, 3, 2 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"CYLINDER NUMBERS ONE, THREE, AND TWO ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.",
101339,REAR ENGINE BAFFLE BRACKET LOOSE.,"REMOVED BAFFLE, INSTALLED NEW RIVETS TO HOLD BRACKET. R","REAR ENGINE BAFFLE BRACKET LOOSE. REMOVED BAFFLE, INSTALLED NEW RIVETS TO HOLD BRACKET.",CUTOFF - T
101340,ENGINE OVERSPEED TO 3300 RPM.,"CHANGED OIL FILTER, CHECKED SUMP SCREEN, CHANGED OIL &","ENGINE OVERSPEED TO THIRTY THREE HUNDRED RPM. CHANGED OIL FILTER, CHECKED SUMP SCREEN, CHANGED OIL",CUTOFF - T
101341,R/H ENG BAFFLE SCREW MISSING.,REPLACED SCREW.,RIGHT-HAND ENGINE BAFFLE SCREW MISSING. REPLACED SCREW.,
101342,A/C WOULDN'T START.,"STARTED A/C, CHECKED OK.","AIRCRAFT WOULDN'T START. STARTED AIRCRAFT, CHECKED OK.",
101343,#3 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED #3 INTAKE GASKET ON R/H ENGINE.,NUMBER THREE INTAKE LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED NUMBER THREE INTAKE GASKET ON RIGHT-HAND ENGINE.,
101344,#2 INTAKE IS LEAKING.,REPLACED GASKET.,NUMBER TWO INTAKE IS LEAKING. REPLACED GASKET.,
101345,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO ROCKER COVER IS LEAKING. REMOVED AND REPLACED GASKET.,
101346,R/H BACK BAFFLE RIVET HEAD IS SHEARED.,COMPLETED REASSEMBLY.,RIGHT-HAND BACK BAFFLE RIVET HEAD IS SHEARED. COMPLETED REASSEMBLY.,
101347,R/H BACK BAFFLE RIVET HEAD IS SHEARED.,"REMOVED BACK BAFFLE, INSTALLED SCREWS WHERE RIVETS WHER","RIGHT-HAND BACK BAFFLE RIVET HEAD IS SHEARED. REMOVED BACK BAFFLE, INSTALLED SCREWS WHERE RIVETS WERE SHEARED",CUTOFF - C
101348,"R/H, L/H ENGINE BAFFLE SEAL LOOSE.",RESECURED R/H & L/H BAFFLE SEAL.,"RIGHT-HAND, LEFT-HAND ENGINE BAFFLE SEAL LOOSE. RESECURED RIGHT-HAND AND LEFT-HAND BAFFLE SEAL.",
101349,"#2, 3 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"NUMBERS TWO, THREE AND FOUR CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.",
101350,L/H #2 & 3 ROCKER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,LEFT-HAND NUMBER TWO AND NUMBER THREE ROCKER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101351,R/H #2 & 4 ROCKER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,RIGHT-HAND NUMBER TWO AND NUMBER FOUR ROCKER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101352,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101353,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101354,#3 ROCKER COVER LEAKING ON L/H ENGINE.,REMOVED & REPLACED GASKET.,NUMBER THREE ROCKER COVER LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED GASKET.,
101355,#2 INTAKE LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKET.,NUMBER TWO INTAKE LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED INTAKE GASKET.,
101356,R/H ENG #2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,RIGHT-HAND ENGINE NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED GASKETS.,
101357,R/H ENG #1 & 3 INTAKE GASKETS ARE LEAKING.,REMOVED & REPLACED INTAKE GASKETS ON R/H ENGINE.,RIGHT-HAND ENGINE NUMBER ONE AND NUMBER THREE INTAKE GASKETS ARE LEAKING. REMOVED AND REPLACED INTAKE GASKETS ON RIGHT-HAND ENGINE.,
101358,ALL 4 ROCKER GASKETS ARE LEAKING.,REPLACED W/ NEW ROCKER GASKETS. LEAK CHECK GOOD.,ALL FOUR ROCKER GASKETS ARE LEAKING. REPLACED WITH NEW ROCKER GASKETS. LEAK CHECK GOOD.,
101359,#2 & 3 INTAKE GASKETS ARE LEAKING.,REPLACED W/ NEW INTAKE GASKETS. LEAK CHECK GOOD.,NUMBER TWO AND NUMBER THREE INTAKE GASKETS ARE LEAKING. REPLACED WITH NEW INTAKE GASKETS. LEAK CHECK GOOD.,
101360,"#1, 2, 3 & 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"NUMBERS ONE, TWO, THREE AND FOUR ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.",
101361,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER IS LEAKING. REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET.,
101362,#2 & 3 INTAKES LEAKING ON L/H ENGINE.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER THREE INTAKES LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED GASKETS.,
101363,R/H ENGINE #2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED GASKET.,
101364,#2 & 3 ROCKER COVERS LEAKING ON L/H ENGINE.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER THREE ROCKER COVERS LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED GASKETS.,
101365,L/H CARB HEAT BRACKET LOOSE.,REMOVED & REPLACED LOOSE RIVETS.,LEFT-HAND CARB HEAT BRACKET LOOSE. REMOVED AND REPLACED LOOSE RIVETS.,
101366,R/H #4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,RIGHT-HAND NUMBER FOUR INTAKE GASKET IS LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101367,#3 ROCKER COVER LEAKING.,REOVED & REPLACED #3 ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER LEAKING. REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET.,
101368,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER ONE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101369,MIXTURE CHECK FAILS - RPM 200 RISE.,"RAN A/C, ADJUSTED IDLE MIXTURE IAW HMI, CHECKS GOOD.","MIXTURE CHECK FAILS, RPM TWO HUNDRED RISE. RAN AIRCRAFT, ADJUSTED IDLE MIXTURE IN ACCORDANCE WITH HMI, CHECKS GOOD.",PUNC - D
101370,#4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER FOUR INTAKE GASKET IS LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101371,AFT BAFFLE BRACKET MISSING SCREW.,INSTALLED NEW SCREW ON BAFFLE.,AFT BAFFLE BRACKET MISSING SCREW. INSTALLED NEW SCREW ON BAFFLE.,
101372,#3 & 4 INTAKE GASKETS ARE LEAKING.,REPLACED GASKETS.,NUMBER THREE AND NUMBER FOUR INTAKE GASKETS ARE LEAKING. REPLACED GASKETS.,
101373,#2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,NUMBER TWO INTAKE GASKET IS LEAKING. REMOVED AND REPLACED GASKET WITH NEW.,
101374,L/H AFT BAFFLE CRACKED.,STOP DRILLED CRACK ON AFT BAFFLE.,LEFT-HAND AFT BAFFLE CRACKED. STOP DRILLED CRACK ON AFT BAFFLE.,
101375,"ROCKER COVER GASKETS CYL #2, 3 & 4 LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"ROCKER COVER GASKETS CYLINDER NUMBERS TWO, THREE AND FOUR LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.",
101376,R/H AFT BAFFLE SUPPORT RIVETS SHEARED.,REMOVED BAFFLE. DRILLED OUT SHEARED RIVETS. INSTALLED S,RIGHT-HAND AFT BAFFLE SUPPORT RIVETS SHEARED. REMOVED BAFFLE. DRILLED OUT SHEARED RIVETS. INSTALLED,CUTOFF - T
101377,TOP BAFFLE IS CRACKED.,FABRICATED PATCHES OUT OF LIKE MATERIAL & INSTALLED. RI,TOP BAFFLE IS CRACKED. FABRICATED PATCHES OUT OF LIKE MATERIAL AND INSTALLED.,CUTOFF - T
101378,L/H AFT BAFFLE IS CRACKED.,FABRICATED PATCH OUT OF LIKE MATERIAL & INSTALLED. RIVE,LEFT-HAND AFT BAFFLE IS CRACKED. FABRICATED PATCH OUT OF LIKE MATERIAL AND INSTALLED.,CUTOFF - T
101379,L/H SIDE BAFFLE IS CRACKED.,PROCURED SERVICEABLE SIDE BAFFLE - INSTALLED ON PD #2.,LEFT-HAND SIDE BAFFLE IS CRACKED. PROCURED SERVICEABLE SIDE BAFFLE. INSTALLED ON PD NUMBER TWO.,PUNC - D
101380,R/H SIDE BAFFLE IS CRACKED.,PATCHED R/H SIDE BAFFLE W/ LIKE MATERIAL. RIVETING IAW,RIGHT-HAND SIDE BAFFLE IS CRACKED. PATCHED RIGHT-HAND SIDE BAFFLE WITH LIKE MATERIAL. RIVETING IN ACCORDANCE WITH REFERENCE MANUAL,ANON
101381,INDUCTION AIR FILTER CAN BE REPLACED.,INSTALLED NEW FILTER. NEXT DUE @ 3961.3 TACH.,INDUCTION AIR FILTER CAN BE REPLACED. INSTALLED NEW FILTER. NEXT DUE AT THIRTY NINE HUNDRED AND SIXTY ONE POINT THREE TACH.,
101382,BOTH LOWER DEFLECTORS CRACKED.,PATCHED DEFLECTORS W/ LIKE MATERIAL.,BOTH LOWER DEFLECTORS CRACKED. PATCHED DEFLECTORS WITH LIKE MATERIAL.,
101383,FWD L/H BAFFLE ANTI-CHAFE STRIP FELL OFF.,CLEANED BAFFLE & REINSTALLED ANTI-CHAFE STRIP.,FORWARD LEFT-HAND BAFFLE ANTI-CHAFE STRIP FELL OFF. CLEANED BAFFLE AND REINSTALLED ANTI-CHAFE STRIP.,
101384,#3 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER THREE INTAKE LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101385,R/H #3 AFT BAFFLE CRACKED.,STOP DRILLED CRACK.,RIGHT-HAND NUMBER THREE AFT BAFFLE CRACKED. STOP DRILLED CRACK.,
101386,L/H #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,LEFT-HAND NUMBER THREE INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101387,R/H #2 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,RIGHT-HAND NUMBER TWO AND NUMBER FOUR INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
