IDENT,raw,normalized,n_tokens,n_expansions
100824,#4 INDUCTION TUBE GASKET LEAKING. REMOVED & REPLACED CYL #4 INTAKE TUBE GASKET.,number 4 induction tube gasket leaking. removed and replaced cylinder number 4 intake tube gasket.,15,4
100825,"FRONT BAFFLE BY INTAKE HEAT, AROUND MUFFLER SHROUD, IS CRACK. REMOVED MUFFLER TO GAIN ACCESS. BEGAN FABRICATING PATCH","front baffle by intake heat, around muffler shroud, is crack. removed muffler to gain access. began fabricating patch",22,0
100826,CYL #2 ROCKER COVER IS LEAKING. REPLACED ROCKER COVER GASKET.,cylinder number 2 rocker cover is leaking. replaced rocker cover gasket.,12,2
100827,FWD BAFFLE CENTER SECTION IS WORN THROUGH. REMOVED WORN SECTION OF BAFFLE. FABRICATED NEW SECTION,forward baffle center section is worn through. removed worn section of baffle. fabricated new section,17,1
100828,L/H ENGINE #2 INTAKE IS LEAKING. REMOVED & REPLACED INTAKE GASKET.,left-hand engine number 2 intake is leaking. removed and replaced intake gasket.,13,3
100829,L/H ENGINE #3 INTAKE GASKET LEAKING. REMOVED & REPLACED L/H ENG #3 INTAKE GASKET.,left-hand engine number 3 intake gasket leaking. removed and replaced left-hand engine number 3 intake gasket.,16,6
100830,"L/H ENGINE #2, 3 ROCKER COVERS ARE LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS.","left-hand engine number 2, 3 rocker covers are leaking. removed and replaced rocker cover gaskets.",17,3
100831,"#3 ROCKER COVER, ROCKER SHAFT PLUGS ARE BROKEN. REMOVED & REPLACED ROCKER SHAFT PLUGS.","number 3 rocker cover, rocker shaft plugs are broken. removed and replaced rocker shaft plugs.",17,2
100832,CYL #2 INTAKE IS LEAKING. REPLACED INTAKE GASKET.,cylinder number 2 intake is leaking. replaced intake gasket.,10,2
100833,CYL #2 & 4 ROCKER COVERS ARE LEAKING. REPLACED ROCKER COVER GASKET.,cylinder number 2 and 4 rocker covers are leaking. replaced rocker cover gasket.,14,3
100834,#2 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,number 2 intake is leaking. removed and replaced gasket.,10,2
100835,ENGINE IS DIRTY. WASHED ENGINE.,engine is dirty. washed engine.,7,0
100836,#1 & 3 INTAKES ARE LEAKING. REMOVED & REPLACED INTAKE GASKET.,number 1 and 3 intakes are leaking. removed and replaced intake gasket.,13,3
100837,R/H BACK BAFFLE IS MISSING A SCREW. INSTALLED NEW BAFFLE SCREW.,right-hand back baffle is missing a screw. installed new baffle screw.,13,1
100838,R/H FRONT BAFFLE SEAL RIVET IS BROKEN. REMOVED RIVET & REPLACED W/ A SCREW.,right-hand front baffle seal rivet is broken. removed rivet and replaced with a screw.,16,3
100839,CYL #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING. LEAK CK GOOD.,cylinder number 2 intake push rod tube inner seal is weeping. leak check good.,15,3
100840,CYL #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING. ROTATED PUSH ROD TUBE TO RESEAT SEAL.,cylinder number 2 intake push rod tube inner seal is weeping. rotated push rod tube to reseat seal.,19,2
100841,"FWD BAFFLE IS CRACKED UNDER HEAT SHROUD AIR INTAKE. STOP DRILLED CRACKS, FABRICATED PATCH OUT OF LIKE MATER","forward baffle is cracked under heat shroud air intake. stop drilled cracks, fabricated patch out of like mater",20,1
100842,R/H SIDE OF BAFFLE IS CRACKED. STOP DRILLED CRACK.,right-hand side of baffle is cracked. stop drilled crack.,11,1
100843,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED ROCKER COVER.,number 4 rocker cover is leaking. removed and replaced rocker cover.,12,2
100844,R/H ENGINE ROCKER COVER SCREWS LOOSE. TIGHTENED SCREWS.,right-hand engine rocker cover screws loose. tightened screws.,10,1
100845,R/H ENG CYL #3 INTAKE IS LEAKING. REMOVED & REPLACED R/H #3 INTAKE GASKET.,right-hand engine cylinder number 3 intake is leaking. removed and replaced right-hand number 3 intake gasket.,16,7
100846,"#2, 3 ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED #2, 3 ROCKER COVER GASKETS. REPLACED","number 2, 3 rocker cover gaskets leaking. removed and replaced number 2, 3 rocker cover gaskets. replaced",19,3
100847,#2 INTAKE GASKET LEAKING. REMOVED & REPLACED INTAKE GASKET W/ NEW.,number 2 intake gasket leaking. removed and replaced intake gasket with new.,13,3
100848,OIL COOLER HOSE REQUIRES REPOSITIONING. REPOSITIONED & TIGHTENED OIL HOSE.,oil cooler hose requires repositioning. repositioned and tightened oil hose.,12,1
100849,#1 & 2 ROCKER COVERS MISSING 2 SCREWS. REPLACED SCREWS.,number 1 and 2 rocker covers missing 2 screws. replaced screws.,12,2
100850,"#2, 3 & 4 ROCKER COVERS LEAK. REMOVED & REPLACED ROCKER COVER GASKETS.","number 2, 3 and 4 rocker covers leak. removed and replaced rocker cover gaskets.",16,3
100851,L/H BAFFLE O/B TIE ROD IS BROKEN. REMOVED & REPLACED L/H BAFFLE TIE ROD.,left-hand baffle outboard tie rod is broken. removed and replaced left-hand baffle tie rod.,16,4
100852,"L/H REAR BAFFLE MOUNT IS LOOSE. SECURED HARDWARE, BAFFLE CHECKS GOOD FOR SECURITY.","left-hand rear baffle mount is loose. secured hardware, baffle checks good for security.",16,1
100853,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM. TRIED MAKING SEVERAL IDLE MIXTURE ADJUSTMENTS. REPLACED,engine idles very irratically below 1150 rpm. tried making several idle mixture adjustments. replaced,16,0
100854,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM. REPLACED FUEL PUMP. PROBLEM PERSISTED,engine idles very irratically below 1150 rpm. replaced fuel pump. problem persisted,14,0
100855,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM. RETIMED BOTH MAGS. BEGAN REPLACEMENT OF FUEL INJECTOR S,engine idles very irratically below 1150 rpm. retimed both mags. began replacement of fuel injectors,17,0
100856,"ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM. STARTED ENGINE IN HANGAR, OPS CHECK GOOD AT & BELOW 100","engine idles very irratically below 1150 rpm. started engine in hangar, operations check good at and below 100",20,2
100857,TOP CENTER BAFFEL SCREW IS HITTING MOUNT. INSPECTED & DETERMINED SCRATCH WAS NEGLIGIBLE. BLENDED,top center baffle screw is hitting mount. inspected and determined scratch was negligible. blended,16,2
100858,R/H ENG #2 & 3 INTAKE GASKETS ARE LEAKING. INSTALLED NEW GASKETS.,right-hand engine number 2 and 3 intake gaskets are leaking. installed new gaskets.,14,4
100859,#2 & 3 ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED #2 & 3 ROCKER COVER GASKETS.,number 2 and 3 rocker cover gaskets leaking. removed and replaced number 2 and 3 rocker cover gaskets.,18,5
100860,#3 BAFFLE IS MISSING SCREW ON BRACKET. INSTALLED NEW SCREW.,number 3 baffle is missing screw on bracket. installed new screw.,12,1
100861,"#2, 3 & 4 ROCKER COVERS ARE LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS.","number 2, 3 and 4 rocker covers are leaking. removed and replaced rocker cover gaskets.",17,3
100862,#2 INTAKE GASKET LEAKS. REMOVED & REPLACED INTAKE GASKET.,number 2 intake gasket leaks. removed and replaced intake gasket.,11,2
100863,"#1, 3, 4 ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS.","number 1, 3, 4 rocker cover gaskets leaking. removed and replaced rocker cover gaskets.",17,2
100864,INTAKE TUBE #2 LEAKING. REMOVED & REPLACED INTAKE GASKET #2.,intake tube number 2 leaking. removed and replaced intake gasket number 2.,12,3
100865,"REAR R/H ENGINE BAFFLE BRACKET RIVETS LOOSE. REMOVED BAFFLE, INSTALLED NEW BRACKET HARDWARE. REINSTA","rear right-hand engine baffle bracket rivets loose. removed baffle, installed new bracket hardware. reinsta",17,1
100866,#1 INTAKE HAS EVIDENCE OF LEAKING. REPLACED GASKET.,number 1 intake has evidence of leaking. replaced gasket.,10,1
100867,#4 INTAKE GASKET IS LEAKING. REPLACED GASKET.,number 4 intake gasket is leaking. replaced gasket.,9,1
100868,CYL #2 & 4 INTAKES ARE LEAKING. REMOVED & REPLACED INTAKE GASKETS.,cylinder number 2 and 4 intakes are leaking. removed and replaced intake gaskets.,14,4
100869,#2 INDUCTION TUBE GASKET LEAKING. INSTALLED NEW INDUCTION TUBE GASKET.,number 2 induction tube gasket leaking. installed new induction tube gasket.,12,1
100870,#2 & 1 ROCKER COVERS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS W/ NEW.,number 2 and 1 rocker covers leaking. removed and replaced rocker cover gaskets with new.,16,4
100871,R/H BAFFLE SPRING BROKEN. REMOVED & REPLACED BAFFLE SPRING W/ NEW.,right-hand baffle spring broken. removed and replaced baffle spring with new.,13,3
100872,R/H AFT BAFFLE CRACKED. INSPECTED & FOUND CRACK TO HAVE BEEN PREVIOUSLY REPAIRE,right-hand aft baffle cracked. inspected and found crack to have been previously repaire,14,2
100873,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT. STARTED DISASSEMBLY FOR VALVE REAMING.,felt vibration like stuck valve in flight. started disassembly for valve reaming.,14,0
100874,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT. FINISHED DISASSEMBLY & BEGAN REAMING EXHAUST VALVES.,felt vibration like stuck valve in flight. finished disassembly and began reaming exhaust valves.,16,1
100875,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT. FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. BEGAN REAS,felt vibration like stuck valve in flight. finished reaming all 4 exhaust valve guides. began reas,18,0
100876,"FELT VIBRATION LIKE STUCK VALVE IN FLIGHT. COMPLETED ASSY OF BAFFLES, CLAMPS, FUEL SUPPLY HOSE, OI","felt vibration like stuck valve in flight. completed assembly of baffles, clamps, fuel supply hose, oi",20,1
100877,#2 INTAKE ON R/H ENGINE LEAKING. REPLACED GASKET.,number 2 intake on right-hand engine leaking. replaced gasket.,10,2
100878,#2 & 4 INTAKES LEAKING ON L/H ENGINE. REMOVED & REPLACED GASKETS.,number 2 and 4 intakes leaking on left-hand engine. removed and replaced gaskets.,14,4
100879,#2 ROCKER COVER LEAKING ON R/H ENGINE. REMOVED & REPLACED GASKET.,number 2 rocker cover leaking on right-hand engine. removed and replaced gasket.,13,3
100880,R/H BAFFLE SPRING BROKEN. REMOVED & REPLACED BAFFLE SPRING W/ NEW.,right-hand baffle spring broken. removed and replaced baffle spring with new.,13,3
100881,AFT BAFFLE BRACKET MISSING RIVETS. INSTALLED NEW RIVETS IN BRACKET IAW  STRUCTURAL R,aft baffle bracket missing rivets. installed new rivets in bracket in accordance with structural r,14,1
100882,L/H ENG CYL #2 INTAKE IS LEAKING. REPLACED INTAKE GASKET.,left-hand engine cylinder number 2 intake is leaking. replaced intake gasket.,12,4
100883,R/H ENG #3 CYL INTAKE IS LEAKING. REPLACED INTAKE GASKET.,right-hand engine number 3 cylinder intake is leaking. replaced intake gasket.,12,4
100884,L/H ENG #4 INTAKE TUBE GASKET LEAKING. REPLACED INTAKE GASKET.,left-hand engine number 4 intake tube gasket leaking. replaced intake gasket.,12,3
100885,R/H ENG CYL #1 PRIMER LINE SLEEVE IS TORN. REPLACED TORN PRIMER LINE SLEEVE.,right-hand engine cylinder number 1 primer line sleeve is torn. replaced torn primer line sleeve.,16,4
100886,R/H ENGINE #2 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,right-hand engine number 2 intake is leaking. removed and replaced gasket.,12,3
100887,L/H ENGINE #2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,left-hand engine number 2 intake is leaking. removed and replaced number 2 intake gasket.,14,4
100888,R/H ENGINE BAFFLE SEAL UNDER PROP GOVERNOR IS LOOSE. RESECURED BAFFLE SEAL.,right-hand engine baffle seal under propeller governor is loose. resecured baffle seal.,14,2
100889,L/H ENGINE #2 ROCKER COVER IS LEAKING. REMOVED & REPLACED L/H ENGINE #2 ROCKER COVER GASKET.,left-hand engine number 2 rocker cover is leaking. removed and replaced left-hand engine number 2 rocker cover gasket.,18,5
100890,"SCREW MISSING, L/H AFT BAFFLING, ON ENG (BEHIND DIPSTICK TUB. INSTALLED SCREW.","screw missing, left-hand aft baffling, on engine behind dipstick tub. installed screw.",17,2
100891,#2 EGT READ HIGH 100 - 150 DEGREES ABOVE OTHER CYLS. REMOVED OBSTRUCTION FROM #2 CYL INJECTOR NOZZLE. REINST,number 2 egt read high 100 - 150 degrees above other cyls. removed obstruction from number 2 cylinder injector nozzle. reinst,21,3
100892,"L/H ENGINE, L/H MAGNETO HAD DROP OF 300 RPM ON RUN UP. LEANE. RAN UP A/C, LEANED MIXTURE TO CLEAR FOULED PLUG. MAG DR","left-hand engine, left-hand magneto had drop of 300 rpm on run up. leane. ran up aircraft, leaned mixture to clear fouled plug. magneto dr",29,4
100893,"LEAKING INTAKE GASKETS, CYL #2 & 3. REMOVED & REPLACED INTAKE GASKETS.","leaking intake gaskets, cylinder number 2 and 3. removed and replaced intake gaskets.",15,4
100894,#2 & 1 ROCKER COVERS ARE LEAKING. REOMVED & REPLACED ROCKER GASKETS.,number 2 and 1 rocker covers are leaking. removed and replaced rocker gaskets.,14,4
100895,"R/H ENGINE, L/H SIDE FWD COWL SEAL IS LOOSE. SECURED SEAL.","right-hand engine, left-hand side forward cowl seal is loose. secured seal.",14,3
100896,L/H ENGINE #3 & 4 ROCKER COVERS ARE LEAKING. REMOVED & REPLACED L/H ENGINE #3 & 4 ROCKER COVER GASKE,left-hand engine number 3 and 4 rocker covers are leaking. removed and replaced left-hand engine number 3 and 4 rocker cover gasket,21,8
100897,R/H ENGINE #3 & 4 ROCKER COVERS ARE LEAKING. REMOVED & REPLACED R/H ENGINE #3 & 4 ROCKER COVER GASKE,right-hand engine number 3 and 4 rocker covers are leaking. removed and replaced right-hand engine number 3 and 4 rocker cover gasket,21,8
100898,CYL #2 & 4 INTAKE GASKETS LEAKING. REMOVED & REPLACED GASKETS.,cylinder number 2 and 4 intake gaskets leaking. removed and replaced gaskets.,13,4
100899,CYL #3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED GASKET.,cylinder number 3 rocker cover gasket leaking. removed and replaced gasket.,12,3
100900,#1 & 2 ROCKER COVERS LEAKING. REMOVED & REPLACED 1 & 2 ROCKER COVER GASKETS.,number 1 and 2 rocker covers leaking. removed and replaced 1 and 2 rocker cover gaskets.,17,4
100901,CYL #1 INTAKE IS LEAKING. REPLACED GASKET.,cylinder number 1 intake is leaking. replaced gasket.,9,2
100902,"R/H FWD BAFFLE SEAL NEEDS TO BE SECURED. REPLACED BAFFLE SEAL, FOUND UNSERVICEABLE.","right-hand forward baffle seal needs to be secured. replaced baffle seal, found unserviceable.",16,2
100903,BACK L/H BAFFLE HAS A CRACK. STOP DRILLED CRACK.,back left-hand baffle has a crack. stop drilled crack.,11,1
100904,#2 INTAKE IS LEAKING. REMOVED & REPLACED INTAKE GASKET.,number 2 intake is leaking. removed and replaced intake gasket.,11,2
100905,#2 ROCKER COVER LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,number 2 rocker cover leaking. removed and replaced number 2 rocker cover gasket.,13,3
100906,#4 INTAKE LEAKING. REMOVED & REPLACED #4 INTAKE GASKET.,number 4 intake leaking. removed and replaced number 4 intake gasket.,11,3
100907,#4 ROCKER COVER LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,number 4 rocker cover leaking. removed and replaced number 4 rocker cover gasket.,13,3
100908,TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION. FOR TEST FLIGHT.,test flight needed for unusual vibration. for test flight.,11,0
100909,"TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION. REMOVED, CLEANED & INSTALLED #1 & 3 FUEL INJ NOZZLES.","test flight needed for unusual vibration. removed, cleaned and installed number 1 and 3 fuel injector nozzles.",19,4
100910,"TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION. REMOVED SPARK PLUGS, LEADS, SIDE BAFFLES, LOWER COUPLIN","test flight needed for unusual vibration. removed spark plugs, leads, side baffles, lower couplin",18,0
100911,"TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION. REMOVED, CLEANED, REINSTALLED #2, 4 FUEL INJ NOZZLES. O","test flight needed for unusual vibration. removed, cleaned, reinstalled number 2, 4 fuel injector nozzles. o",20,2
100912,CYL #2 INTAKE IS LEAKING. REMOVED & REPLACED GASKET W/ NEW.,cylinder number 2 intake is leaking. removed and replaced gasket with new.,13,4
100913,"NO COMPRESSION ON #4 CYLINDER. RAN UP A/C 2ND TIME, COMPRESSIONS ABOUT 20 PSI.","no compression on number 4 cylinder. ran up aircraft 2 nd time, compressions about 20 psi.",18,2
100914,NO COMPRESSION ON #4 CYLINDER. STAKED VALVES. COMPRESSION ROSE TO 76/80 AFTER STAKING,no compression on number 4 cylinder. staked valves. compression rose to 76/80 after staking,15,1
100915,CYL #1 EXT VALVE IS STICKING (40/80). ATTEMPTED TO STAKE VALVE BUT COMPRESSION REMAINS AT 40/,cylinder number 1 exhaust valve is sticking 40/80. attempted to stake valve but compression remains at 40 /,20,3
100916,"CYL #1 EXT VALVE IS STICKING (40/80). RAN A/C, COMPRESSIONS REMAINS LOW. DISASSEMBLED AS REQU","cylinder number 1 exhaust valve is sticking 40/80. ran aircraft, compressions remains low. disassembled as requ",20,4
100917,CYL #1 EXT VALVE IS STICKING (40/80). COMPLETED CYLINDER INSTALLATION IAW LYCOMING OVERHAUL M,cylinder number 1 exhaust valve is sticking 40/80. completed cylinder installation in accordance with lycoming overhaul m,17,4
100918,"#3 CYL BAFFLE BRACKET RIVETS ARE LOOSE ON BACK SIDE OF BAFFL. REMOVED BAFFLE, REINSTALLED BRACKET. REINSTALLED BAFFLE","number 3 cylinder baffle bracket rivets are loose on back side of baffl. removed baffle, reinstalled bracket. reinstalled baffle",21,2
100919,CYL #3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED ROCKER COVER GASKET. CLEANED LEAKS.,cylinder number 3 rocker cover gasket leaking. removed and replaced rocker cover gasket. cleaned leaks.,17,3
100920,"FRONT RUBBER BAFFLE CHAFING ON STARTER GROUND WIRE. REMOVED RUBBER BAFFLE, TRIMMED AS NECESSARY & REINSTALL","front rubber baffle chafing on starter ground wire. removed rubber baffle, trimmed as necessary and reinstall",18,1
100921,"OVERSPEED OF 3300 IN FLT. COMPRESSIONS: #1-79, #2-74, #3-77, #4-73. C/W REQUIREME","overspeed of 3300 in flight. compressions: number 1 - 79, number 2 - 74, number 3 - 77, number 4 - 73. complied with requireme",26,6
100922,"#2, 4 ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED #2, 4 ROCKER COVER GASKETS.","number 2, 4 rocker cover gaskets leaking. removed and replaced number 2, 4 rocker cover gaskets.",18,3
100923,L/H ENGINE #4 INTAKE LEAKING. REPLACED GASKET.,left-hand engine number 4 intake leaking. replaced gasket.,9,2
100924,L/H ENGINE #4 ROCKER COVER LEAKING. REPLACED GASKET.,left-hand engine number 4 rocker cover leaking. replaced gasket.,10,2
100925,R/H ENGINE #4 INTAKE LEAKING. REMOVED & REPLACED #4 INTAKE GASKET ON R/H ENGINE.,right-hand engine number 4 intake leaking. removed and replaced number 4 intake gasket on right-hand engine.,16,5
100926,R/H ENGINE IGNITION LEAD LACING CORE BROKEN TO OIL RIGGED LI. REMOVED DAMAGED LACING CORD.,right-hand engine ignition lead lacing core broken to oil rigged li. removed damaged lacing cord.,17,1
100927,CYL #2 INTAKE IS LEAKING. REPLACED INTAKE GASKET.,cylinder number 2 intake is leaking. replaced intake gasket.,10,2
100928,CYL #2 INTAKE GASKET LEAKING. REMOVED & REPLACED GASKET W/ NEW.,cylinder number 2 intake gasket leaking. removed and replaced gasket with new.,13,4
100929,RING GEAR TEETH APPEAR TO BE DAMAGED. DRESSED RING GEAR TEETH.,ring gear teeth appear to be damaged. dressed ring gear teeth.,13,0
100930,"CYL #4, 1 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED CYL #1, 4 ROCKER COVER GASKETS.","cylinder number 4, 1 rocker cover gasket leaking. removed and replaced cylinder number 1, 4 rocker cover gaskets.",20,5
100931,#2 CYL INTAKE GASKET LEAKING. REMOVED & REPLACED GASKET.,number 2 cylinder intake gasket leaking. removed and replaced gasket.,11,3
100932,ROCKER COVER FOR CYL #2 IS LEAKING. REMOVED & REPLACED ROCKER COVER GASKET.,rocker cover for cylinder number 2 is leaking. removed and replaced rocker cover gasket.,15,3
100933,#3 INTAKE GASKET LEAKING. REMOVED & REPLACED #3 INTAKE GASKET.,number 3 intake gasket leaking. removed and replaced number 3 intake gasket.,12,3
100934,#4 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,number 4 rocker cover gasket leaking. removed and replaced number 4 rocker cover gasket.,14,3
100935,"REAR BAFFLE MOUNT SCREW IS LOOSE, BEHIND DIPSTICK TUBE. REMOVED DIPSTICK TUBE TO GAIN ACCESS. REMOVED SCREW, IN","rear baffle mount screw is loose, behind dipstick tube. removed dipstick tube to gain access. removed screw, in",22,0
100936,#2 CYLILNDER ROCKER COVER LEAKING. REMOVED & REPLACED GASKET.,number 2 cylinder rocker cover leaking. removed and replaced gasket.,11,3
100937,#2 CYLINDER INTAKE GASKET LEAKING. REMOVED & REPLACED GASKET.,number 2 cylinder intake gasket leaking. removed and replaced gasket.,11,2
100938,#3 ROCKER COVER LEAKING. REMOVED & REPLACED #3 ROCKER COVER GASKET.,number 3 rocker cover leaking. removed and replaced number 3 rocker cover gasket.,13,3
100939,FRONT R/H BAFFLE SEAL IS NOT ATTACHED. FOUND SEAL TORN. REMOVED & REPLACED BAFFLE SEAL.,front right-hand baffle seal is not attached. found seal torn. removed and replaced baffle seal.,18,2
100940,"ENGINE RAN ROUGH. AFTER RPM'S WERE STAB. PERFORMED GROUND RUN, OPS CHECKED GOOD. DECOWLED, REMOV","engine ran rough. after rpm's were stab. performed ground run, operations checked good. decowled, remov",20,1
100941,ENGINE RAN ROUGH. AFTER RPM'S WERE STAB. REMOVED & REPLACED #4 PISTON & CYL ASSY IAW LYCOMING DI,engine ran rough. after rpm's were stab. removed and replaced number 4 piston and cylinder assembly in accordance with lycoming di,20,6
100942,"ENGINE RAN ROUGH. AFTER RPM'S WERE STAB. RAN UP A/C, OPS & LEAK CHECK GOOD.","engine ran rough. after rpm's were stab. ran up aircraft, operations and leak check good.",19,3
100943,SCREW MISSING BEHIND #3 BAFFLE. REPLACED SCREW.,screw missing behind number 3 baffle. replaced screw.,9,1
100944,"#2, 4 INTAKES LEAKING. REMOVED & REPLACED INTAKE GASKETS.","number 2, 4 intakes leaking. removed and replaced intake gaskets.",12,2
100945,FWD R/H BAFFLE SEAL IS TORN. REMOVED & REPLACED BAFFLE SEAL.,forward right-hand baffle seal is torn. removed and replaced baffle seal.,13,3
100946,#3 CYL INTAKE GASKET IS LEAKING. REMOVED & REPLACED GASKET.,number 3 cylinder intake gasket is leaking. removed and replaced gasket.,12,3
100947,OIL COOLER STAND OFFS NEED ADJUSTMENT. ADJUSTED OIL COOLER STAND OFFS.,oil cooler stand offs need adjustment. adjusted oil cooler stand offs.,13,0
100948,"ENG L/H SIDE BAFFLE, MIDDLE MOUNT RIVETS ARE LOOSE. REPLACED LOOSE RIVETS.","engine left-hand side baffle, middle mount rivets are loose. replaced loose rivets.",15,2
100949,"L/H AFT BAFFLE CRACKED PAST STOP DRILL. STOP DRILLED CRACK, CRACK WAS PREVIOUSLY PATCHED.","left-hand aft baffle cracked past stop drill. stop drilled crack, crack was previously patched.",17,1
100950,"ROCKER COVER GASKETS #2, 3 LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS.","rocker cover gaskets number 2, 3 leaking. removed and replaced rocker cover gaskets.",15,2
100951,#2 CYL ROCKER COVER GASKET LEAKING. REMOVED & REPLACED ROCKER COVER GASKET.,number 2 cylinder rocker cover gasket leaking. removed and replaced rocker cover gasket.,14,3
100952,"FULL POWER ONLY RESULTS IN 2640 RPM ON L/H ENGINE & 2600 RPM. RAN UP A/C, COULD NOT DUPLICATE DISCREPANCY. NO DEFECTS","full power only results in 2640 rpm on left-hand engine and 2600 rpm. ran up aircraft, could not duplicate discrepancy. no defects",25,3
100953,L/H ENG CYL #4 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,left-hand engine cylinder number 4 intake is leaking. removed and replaced gasket.,13,5
100954,R/H ENG CYL #3 & 4 BAFFLE SEALS NEED TO BE INSTALLED CORRECT. REINSTALLED R/H ENG CYL #3 & 4 BAFFLE SEALS PROPERLY.,right-hand engine cylinder number 3 and 4 baffle seals need to be installed correct. reinstalled right-hand engine cylinder number 3 and 4 baffle seals properly.,25,10
100955,L/H ENG CYL #4 AFT & #2 SIDE BAFFLE SEAL NEEDS TO BE REATTAC. REINSTALLED L/H ENGINE CYL #4 AFT & 2 SIDE BAFFLE SEALS,left-hand engine cylinder number 4 aft and number 2 side baffle seal needs to be reattac. reinstalled left-hand engine cylinder number 4 aft and 2 side baffle seals,26,10
100956,#2 ROCKER COVER LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,number 2 rocker cover leaking. removed and replaced number 2 rocker cover gasket.,13,3
100957,AFT R/H BAFFLE SCREW LOOSE. RESECURED LOOSE BAFFLE SCREW. REMOVED & REPLACED SCREW.,aft right-hand baffle screw loose. resecured loose baffle screw. removed and replaced screw.,16,2
100958,#4 ROCKER COVER SCREWS LOOSE. TIGHTENED ALL ROCKER COVER SCREWS.,number 4 rocker cover screws loose. tightened all rocker cover screws.,12,1
100959,#2 INTAKE GASKET IS LEAKING. REMOVED & REPLACED GASKET.,number 2 intake gasket is leaking. removed and replaced gasket.,11,2
100960,#2 CYL ROCKER COVER IS MISSING A SCREW. INSTALLED NEW SCREW.,number 2 cylinder rocker cover is missing a screw. installed new screw.,13,2
100961,R/H ENGINE #2 ROCKER COVER LEAKING. REPLACED GASKET.,right-hand engine number 2 rocker cover leaking. replaced gasket.,10,2
100962,L/H ENGINE #4 ROCKER COVER IS LEAKING. REPLACED GASKET.,left-hand engine number 4 rocker cover is leaking. replaced gasket.,11,2
100963,"R/H ENGINE, #2 & 3 INTAKES ARE LEAKING. REPLACED #2 & 3 GASKETS.","right-hand engine, number 2 and 3 intakes are leaking. replaced number 2 and 3 gaskets.",16,5
100964,L/H ENGINE #3 & 4 INTAKES ARE LEAKING. REPLACED GASKETS ON #3 & 4 INTAKES.,left-hand engine number 3 and 4 intakes are leaking. replaced gaskets on number 3 and 4 intakes.,17,5
100965,R/H ENGINE O/B TOP CENTER BAFFLE SEAL IS LOOSE. TIGHTENED BAFFLE SEAL W/ POP RIVETS.,right-hand engine outboard top center baffle seal is loose. tightened baffle seal with pop rivets.,17,3
100966,"L/H ENG, #4 CYL SIDE BAFFLE SEAL IS COMING LOOSE. RESECURED BAFFLE SEAL.","left-hand engine, number 4 cylinder side baffle seal is coming loose. resecured baffle seal.",16,4
100967,"R/H ENG, #3 CYL ROCKER COVER GASKET IS LEAKING. REMOVED & REPLACED GASKET.","right-hand engine, number 3 cylinder rocker cover gasket is leaking. removed and replaced gasket.",16,5
100968,"R/H ENG, #3 CYL INTAKE GASKET IS LEAKING. REMOVED & REPLACED INTAKE GASKET.","right-hand engine, number 3 cylinder intake gasket is leaking. removed and replaced intake gasket.",16,5
100969,"R/H ENG #3 CYL SIDE BAFFLE, BOTH BOLTS MISSING. INSTALLED NEW BOLTS & WASHERS.","right-hand engine number 3 cylinder side baffle, both bolts missing. installed new bolts and washers.",17,5
100970,R/H REAR BAFFLE MOUNTING SCREW LOOSE. REMOVED & REPLACED SCREW.,right-hand rear baffle mounting screw loose. removed and replaced screw.,12,2
