evaluation_cluster_id,split,case_count,unique_problem_texts,sample_problem_1,sample_problem_2,sample_problem_3,sample_case_ids
EVC-82e656e175abaffa,train,2,1,FWD ENG BAFFLE SEAL ABOVE VACUUM PUMP TORN.,,,103124 | 103126
EVC-8392f3891f8039ee,test,2,1,"AT FULL POWER (SMOOTHLY APPLIED), ENGINES WOULD VIBRATE VIOL",,,102234 | 102235
EVC-8635cf3b60198a19,train,2,1,OIL SEEPING FROM TOP OF CASE HALVES.,,,104590 | 104591
EVC-8a061ee3400f6104,train,2,1,MX FLIGHT REQUIRED FOR M/R LEAK.,,,104856 | 104857
EVC-8e6e040edfb984c4,dev,2,1,CYL #3 AFT BAFFLE BRACKETS LOOSE.,,,104338 | 104340
EVC-90040811f95af35c,train,2,1,R/H SIDE BACK BAFFLE IS CRACKED & BRACKET RIVETS BROKEN.,,,100277 | 100278
EVC-91e82e3331da9e7e,train,2,2,#3 INTAKE GASKET LEAKS ON L/H ENGINE.,#2 INTAKE GASKET LEAKS ON L/H ENGINE.,,103611 | 105438
EVC-92e5ae2c19f6f333,train,2,1,START ASSIST REQUIRED.,,,103638 | 103639
EVC-9392ec1f2fb9c650,train,2,1,"L/H ENG, CYL #2 COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA",,,104811 | 104812
EVC-948b25a46ee625c0,train,2,2,BAFFLE SEALS ON R/H SIDE ARE TORN.,R/H ENG #2 & 4 SIDE BAFFLE SEALS ARE TORN.,,100046 | 102093
EVC-94f32973ecc55a63,train,2,1,ENGINE RAN ROUGH DURING RUN UP.,,,104127 | 104128
EVC-95512bbf9f713381,test,2,1,OIL ON CRANKSHAFT PLUG.,,,105413 | 105414
EVC-99967b967257264e,test,2,1,L/H #2 SIDE BAFFLE SEAL TORN.,,,100750 | 102403
EVC-9d20102db6a9e5d3,train,2,2,L/H I/B BAFFLING CONNECTING ROD IS BROKEN.,L/H I/B CYL BAFFLING CONNECTING ROD IS BROKEN.,,103433 | 103993
EVC-9e26bd40f7498977,train,2,1,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,,,100062 | 100063
EVC-a37a8d5146d759b2,test,2,1,R/H ENG #3 CYL HAS LOW COMPRESSION (16/80).,,,104977 | 104979
EVC-a4252436c9d89ee9,train,2,1,EXPERIENCED PARTIAL POWER LOSS DURING CLIMB.,,,101094 | 101095
EVC-a4fb09b631f651e9,test,2,1,IDLE PRM LOW.,,,102788 | 102789
EVC-a579b15789e6cfc8,train,2,1,"OIL LEAK AT FRONT LOWER PORTION OF CRANKCASE, NEAR OIL SEAL.",,,103805 | 103806
EVC-a67cfd3ad7a05c7c,train,2,2,ROCKER COVER FOR CYL #1 IS LEAKING.,ROCKER COVER FOR CYL #2 IS LEAKING.,,100020 | 100932
EVC-a6c1db473d1fc79b,dev,2,2,BACK L/H BAFFLE HAS A CRACK.,L/H BACK BAFFLE HAS A CRACK.,,100903 | 101544
EVC-a74ae961fcfa643f,test,2,1,"#3 EX, #4 IN, #4 EX PUSH ROD TIPS GALLED & ROCKER ARMS.",,,105921 | 105922
EVC-a9b614b96669ac2f,train,2,2,#2 ROCKER BOX COVER IS LEAKING.,#4 ROCKER BOX COVER LEAKING.,,103809 | 105814
EVC-a9dc1a13c306996c,train,2,2,"GROUNDING STRAP ON ENGINE, LOOSE BOLT.",GROUNDING STRAP BOLT LOOSE ON ENGINE.,,105436 | 105520
EVC-aa1da66003486e27,train,2,2,R/H ENGINE BAFFLE PLUG BAD.,L/H ENGINE BAFFLE PLUG BAD.,,102334 | 102338
EVC-aaa56f200dd28cda,train,2,1,"DURING RUN UP, #2 CYL WAS COLD & ENGINE SHOCK VIOLENTLY (ENG",,,106167 | 106168
EVC-aaab81f41218d960,train,2,2,L/H ENGINE QUICK DRAIN NEEDS INSTALLATION.,R/H ENGINE QUICK DRAIN NEEDS INSTALLATION.,,103304 | 103305
EVC-acc4799b12121977,train,2,2,INTAKE BOOT IS TORN.,ENGINE INTAKE BOOT TORN.,,102567 | 104883
EVC-acd4f485eff32b4a,train,2,1,R/H ENG LEFT SIDE AFT BAFFLE CRACKED.,,,102222 | 102223
EVC-ad8ea6baee7d870a,train,2,1,R/H ENG BACKBONE BOLT LEAKS A LITTLE OIL.,,,105248 | 105251
EVC-add1d379d26d8bd2,train,2,2,L/H ENG #2 & 4 INTAKES HAVE EVIDENCE OF LEAKING.,#1 & 4 INTAKES HAVE EVIDENCE OF LEAKING.,,104184 | 105225
EVC-ae6a6eaffcafbd27,train,2,2,BAFFLE PATCH CRACKED ABOVE #4 CYL.,ENGINE BAFFLE PATCH CRACKED ABOVE #4 CYL.,,103292 | 103958
EVC-afe3b9902907fc9c,train,2,1,EVIDENCE OF SEEPAGE @ #3 PUSH ROD EXHAUST TUBE.,,,105826 | 105827
EVC-b467f728314af365,train,2,1,CRANKSHAFT FRONT SEAL NEEDS TO BE REPLACED.,,,105982 | 105984
EVC-b4bda31e213487e2,train,2,1,#2 CYL EXHAUST PUSH ROD TUBE HAS SMALL DENT.,,,100472 | 100474
EVC-b64993526e9d0351,train,2,1,COMPRESSOR WASH REQUIRED.,,,105875 | 105876
EVC-b8c188d3d02bc12a,train,2,1,"CRACK IN ENGINE COOLING BAFFLE, NEXT TO R/H UPPER MOTOR MOUN",,,102325 | 102326
EVC-ba8e303c218fb0ca,train,2,1,#2 INDUCTION TUBE HOSE CLAMP BROKEN.,,,100269 | 100768
EVC-bc157d2699edd2d2,test,2,1,"#3 AFT BAFFLE TAB HAS BROKEN RIVETS, NEAR OIL FILLER TUBE.",,,100486 | 100488
EVC-bc31a1c0b7c0ad4b,train,2,1,START ASSIST NEEDED.,,,103488 | 104546
EVC-bce341b7027dbb47,train,2,2,"#1, 3 & 4 INTAKES LEAK.",#1 & 3 INTAKES LEAK.,,104379 | 104786
EVC-bd48f13915cf1fc8,train,2,2,FWD BLACK ENG SEAL WORN.,BLACK FWD ENG SEAL WORN.,,103421 | 104153
EVC-be08cfb96de3078b,train,2,1,R/H BAFFLE PLUG NEEDS PATCH.,,,102774 | 104927
EVC-bf81b2cb3a2d19cf,test,2,1,"AFTER COMPLETING STEEP SPIRALS AT POWER IDLE, SMOOTHLY APPLI",,,101183 | 101184
EVC-c06c9be45a48ccfd,train,2,1,VACUUM PUMP HAS POSSIBLE OIL LEAK.,,,104251 | 104252
EVC-c1288b57582cb43b,train,2,1,CYL #2 INTAKE VALVE PUSH ROD I/B SEAL IS LEAKING.,,,100792 | 100794
EVC-c3655f97d26e18ee,train,2,2,"R/H ENG, R/H REAR ENGINE BAFFLE SEAL LOOSE.","L/H ENG, L/H REAR ENGINE BAFFLE SEAL LOOSE.",,101213 | 104114
EVC-c4f2364b7bd32646,test,2,2,R/H ENGNIE CYL #3 INTAKE GASKET LEAKING.,R/H ENGNIE CYL #3 & 2 INTAKE GASKETS LEAKING.,,101109 | 102912
EVC-c51c6675d672e8e3,train,2,2,#1 ROCKER LEAKING.,#3 ROCKER LEAKING.,,100312 | 103410
EVC-c564e3441ca9826b,train,2,1,CYL #2 SUSPECTED OIL LEAK AT BASE.,,,105883 | 105884
EVC-c56784fc82efa8ef,train,2,1,ROUGH ENGINE ON TAKE OFF,,,105226 | 105227
EVC-c5f148795c466903,train,2,2,SIDE BAFFLE PLUGS HAVE MANY MISSING FINGERS.,BAFFLE PLUGS HAVE MANY MISSING FINGERS.,,101195 | 102758
EVC-c641454fface0af3,train,2,2,CYL #2 & 3 LEFT ENGINE LEAKING INTAKE GASKETS.,#4 & 3 INTAKE GASKETS LEAKING ON LEFT ENGINE.,,102660 | 104458
EVC-c8a7a84ecbc74dd2,train,2,1,STUDENT COULDN'T START A/C.,,,100064 | 101416
EVC-c9063de6d9d06e66,train,2,2,#3 CYL AFT BAFFLE ON L/H ENG IS CRACKED.,L/H ENG #4 CYL AFT BAFFLE IS CRACKED.,,101676 | 102416
EVC-c9526900e0fa2ae6,test,2,2,BAFFLE PLUG HOLE WORN.,L/H BAFFLE PLUG HOLE IS WORN.,,100075 | 102565
EVC-ca93c7b2080f743c,train,2,1,"DURING START UP, ENGINE STARTED BUT RAN VERY ROUGH & WOULD N",,,105836 | 105837
EVC-cac443e1dcfbae8e,train,2,1,L/H OIL COOLER SUPPORT BAFFLE CRACKED.,,,102551 | 102553
EVC-caed85dbac3d7815,train,2,1,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,,,100199 | 100200
EVC-cbadc96ce78cddca,train,2,1,#3 CYLINDER EXHAUST VALVE PUSH ROD TUBE APPEARS TO BE LEAKIN,,,101450 | 101451
EVC-cd0783546fcfa28f,train,2,1,"ON APPROACH, ENGINE ROUGHNESS ABOUT 7 - 10 SECS. ADJUSTED MI",,,102022 | 102023
EVC-cd7063f8f326cfec,train,2,1,#3 CYLINDER HAS VALVE STICKING.,,,100376 | 100377
EVC-ced379d7db0d9706,train,2,2,#3 AFT BAFFLE BRACKET LOOSE.,R/H AFT BAFFLE BRACKET LOOSE.,,100048 | 104292
EVC-ced43c200e5dd461,train,2,2,#1 CYL OUTER BAFFLING CRACKED BY NUTPLATE.,#1 OUTER CYL BAFFLING CRACKED BY NUTPLATE.,,103187 | 103229
EVC-cf85937f096ee3fa,test,2,2,"#1, 2, 3 & 4 OIL RETURN LINES LEAKING.","#1, 2, 4 OIL RETURN LINES LEAKING.",,103082 | 104466
EVC-d1cf6f690fa223fe,dev,2,2,R/H ENGINE #2 CYLINDER INTAKE GASKET LEAKING.,"R/H ENGINE #3, 4 CYLINDERS INTAKE GASKETS LEAKING.",,105246 | 106047
EVC-d2124a1b16693e9f,train,2,1,L/H CYL #4 INTAKE BOLT BROKE OFF.,,,105587 | 105589
EVC-d35123437b988bd1,train,2,1,BOTH BAFFLE PLUGS BAD.,,,100346 | 101874
EVC-d3ae3b9b634f280c,train,2,2,#1 FRONT BAFFLE CRACKED.,#2 FRONT BAFFLE IS CRACKED.,,100585 | 105104
EVC-d6d0e04a14c54bba,test,2,1,OIL IS LEAKING FROM TOP OF R/H ENG COWLING.,,,103862 | 103863
EVC-d6f63df27a542495,test,2,1,PILOT REPORTS PARTIAL POWER LOSS & ROUGH RUNNING ENGINE.,,,105707 | 105708
EVC-d70f88f31416a4e3,test,2,1,BOTH ENGINES #2 INTAKES ARE LEAKING.,,,105402 | 105403
EVC-d8df95596879eb8e,test,2,2,CYL #3 BAFFLE SCREW LOOSE.,#3 CYL BAFFLE SCREW LOOSE.,,103653 | 104898
EVC-d958da2f4180379d,dev,2,1,ENGINE BAFFLE PLUGS BAD.,,,100711 | 101913
EVC-d9be65ff0d1c3664,train,2,1,#1 CHT RED X AT FULL POWER.,,,103322 | 103325
EVC-da627dc95491a960,dev,2,1,STRIPPED NUT ON C FLANGE BOLT.,,,102861 | 102862
EVC-da99ce67a04d9b9c,train,2,2,"R/H, L/H ENGINE BAFFLE SEAL LOOSE.",L/H ENGINE BAFFLE SEAL LOOSE.,,101348 | 104136
EVC-dac06751043b5c85,dev,2,1,CYL #2 INTAKE LEAKING IN CONNECTION POINT TO OIL SUMP.,,,102526 | 102527
EVC-db3047e52197924c,test,2,1,#3 CYLINDER OIL RETURN LINE BEEN CHAFING ON WIRE BUNDLE.,,,100275 | 100276
EVC-db769a9ae28742bd,test,2,2,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,#4 OIL RETURN LINE HOSE CLAMP IS LOOSE.,,100097 | 105954
EVC-dc309c4e35b66294,train,2,1,L/H ENG STARTED RUNNING ROUGH IN FLIGHT. FULL MIXTURE & FULL,,,105634 | 105635
EVC-dc991da5f708187e,test,2,2,R/H ENG PRIMER LINE CHAFING ON #2 INTAKE TUBE.,L/H ENG CYL #1 PRIMER LINE CHAFING ON INTAKE TUBE.,,103830 | 106027
EVC-dd0a6b87270303af,train,2,2,FWD LWR ENG BAFFLE SEAL WORN ABOVE ENG AIR INTAKE.,FWD LWR ENG SEAL WORN ABOVE AIR INTAKE.,,103350 | 103666
EVC-ded89138f59b1f94,train,2,1,LEFT IDLER GEAR HAS SPALLING ON FUEL PUMP CAM.,,,101816 | 101817
EVC-dfaa809d4009f352,train,2,1,"R/H ENG BURNER CAN DRAIN, RIGID LINE IS CONTACTING BOTTOM CO",,,101557 | 101558
EVC-e010a03337f7d7e0,train,2,1,#1 CYL BAFFLING HAS A CRACK.,,,104018 | 105660
EVC-e0873e0582b8f719,train,2,2,"PROP OVERSPEED, 2720 RPM FOR 1 SECOND.",PROP OVERSPEED 2720 FOR 1 SECOND.,,104317 | 104922
EVC-e1b52e9af75b1e66,test,2,1,"CRACKED FIN ON #4 CYLINDER, BETWEEN TOP SPARK PLUG HOLE & IN",,,106095 | 106096
EVC-e433f41ac44dc990,train,2,1,"CRACKS IN BAFFLE, FWD R/H SIDE.",,,103496 | 103497
EVC-e51700d046448c9e,train,2,1,"#1 CYLINDER COMPRESSION LOW, 25LBS. COMING FROM EXHAUST",,,103905 | 103906
EVC-e7cde8eee6ece4bc,train,2,1,"ENGINE ROUGH ON START, SUSPECT STUCK VALVE.",,,100384 | 100385
EVC-e7dec6230212dac6,train,2,1,"MANY CRACKS ON BAFFLING (#3 CYL) R/H ENG, BEHIND 90* BRACKET",,,105790 | 105792
EVC-e84eeda8b0d55e38,train,2,1,"ON RIGHT ENG START, ENGINE RAN VERY ROUGH.",,,100206 | 100207
EVC-e87ca8fe34f2a8c5,train,2,1,"R/H BAFFLE SEAL, BY #2 CYL, TORN.",,,105114 | 105116
EVC-ea86f44f41823061,train,2,1,R/H ENG CYL #3 IS CRACKED.,,,105502 | 105503
EVC-eafbc93634f2b51a,train,2,1,#4 INTAKE LEAKING @ OIL SUMP.,,,102058 | 102059
EVC-ecde2da233abb309,dev,2,1,LOW COMPRESSION ON CYL #3 (55).,,,106053 | 106054
EVC-f0ce9501cfa9fdb7,train,2,1,"ON START UP, ENGINE RAN VERY ROUGH. TRIED TO INCREASE POWER",,,105342 | 105343
EVC-f1de73529bc5ebfa,dev,2,1,"CRACK ON ENGINE BAFFLE, LEFT SIDE, BY #3 CYLINDER.",,,101224 | 101225
EVC-f3542933dc1b49ec,test,2,1,"AFTER ENGINE & ROTOR RUN UP, RPM DROPPED 250 & CONTINUED TO",,,105282 | 105283
EVC-f3adc6ed612c7a9d,train,2,2,L/H INNER ENGINE BAFFLE TIE IS DISCONNECTED.,INNER BAFFLE TIE DISCONNECTED.,,105210 | 105238
EVC-f3e4d3ac2173b9f4,train,2,2,#1 FRONT BAFFLE SEAL TORN.,FRONT BAFFLE SEAL TORN.,,102414 | 104672
EVC-f472ed75525298cb,train,2,2,"L/H ENG, #4 CYL SIDE BAFFLE SEAL IS COMING LOOSE.",R/H ENG CYL #4 SIDE BAFFLE SEAL IS COMING LOOSE.,,100966 | 103753
EVC-f4b6a5c47fc39d5b,dev,2,1,PROP STRIKE/SUDDEN STOPPAGE.,,,106042 | 106043
EVC-f4d8b1113215d2a9,train,2,1,CYL #2 OIL RETURN LINE WAS DISCONNECTED & FITTING REMOVED.,,,101654 | 101659
EVC-f560811a58adf7e5,train,2,1,"OIL LEAK ON R/H ENGINE, BACK BONE CASE SEAM.",,,102217 | 102220
EVC-f5abd0707cbc552d,train,2,1,R/H ENGINE BAFFLE SEALS LOOSE.,,,104171 | 104328
EVC-f5ccf47fde44f34f,train,2,1,BOLT MISSING FROM #4 CYL HEAD.,,,101833 | 101834
EVC-f866f179784437a0,dev,2,2,R/H BACK BAFFLE SCREW IS MISSING.,R/H BACK BAFFLE IS MISSING A SCREW.,,100663 | 100837
EVC-f8d8749a53647fcb,train,2,2,"ALL ROCKER COVERS, BOTH ENG, SCREWS ARE LOOSE.",ALL ROCKER COVERS ON BOTH ENG SCREWS LOOSE.,,100573 | 100797
EVC-fb07c347cb2e613d,train,2,1,OIL BREATHER LEAKING.,,,105139 | 105140
EVC-fd3ca2a4b7d97ed3,train,2,2,L/H ENG ALL ROCKER COVER DRAIN HOSE CLAMPS ARE LEAKING.,R/H ENG ALL ROCKER COVER DRAIN HOSE CLAMPS ARE LEAKING.,,104449 | 104451
EVC-fe49fa463fbdcc27,train,2,1,CARB INLET GASKETS LEAKING ON BOTH ENGINES.,,,105207 | 105208
EVC-ff5fe30cc164c1a2,train,2,2,CYL #3 ROCKER DRAIN LINE LOOSE.,#1 ROCKER DRAIN LINE LOOSE.,,102462 | 103149
EVC-ff6660f33db48c9b,train,2,2,"L/H ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED.","L/H ENGINE, LEFT AFT BAFFLE BRACKET IS CRACKED.",,100143 | 101002
EVC-000c9d14ca837c61,test,1,1,"EXCEEDED PROP LIMITS, 2710 RPM FOR A FEW SECONDS.",,,102257
EVC-0010f73593f0296e,test,1,1,R/H REAR BAFFLE HAS SHEARED RIVET.,,,105166
EVC-003d20e7b80accc3,test,1,1,L/H BAFFLE I/B SPRING HAS PULLED THROUGH.,,,102648
EVC-008175dc15ad3db8,train,1,1,THROTTLE LOOSE AT DASH.,,,104955
EVC-0087295a85f7bc1a,train,1,1,"FWD BAFFLE, DIRECTLY BELOW ALTERNATOR MOUNT IS CRACKED.",,,101063
EVC-00ddb3e910846ac0,train,1,1,BAFFLING CRACKED ON #1 CYLINDER.,,,105150
EVC-013a1087c4f3f1cb,dev,1,1,CYL #3 BACK BAFFLE SCREW MISSING.,,,100349
EVC-013aec97e10a79cb,train,1,1,AIR INLET TUBE DAMAGED.,,,102164
EVC-0141f0f465efb0a8,dev,1,1,"CRACK IN ENGINE BAFFLE, ABOVE #3 CYL, R/H ENGINE.",,,103828
EVC-01518f6e23a2ec0d,train,1,1,L/H ENG FWD I/B BAFFLE LOOSE.,,,104223
EVC-018fc0c58d28b213,train,1,1,L/H FUEL PLACARD IS COVERED,,,102443
EVC-01b4c5b0f8e719be,train,1,1,#1 SIDE BAFFLE BENT.,,,103897
EVC-01d2c3db8967a499,train,1,1,O/B CLAMP ON #4 CYL PUSH ROD TUBE LOOSE.,,,102809
EVC-02145ae46a32be48,train,1,1,"LEFT ENGINE #4 BAFFLE CRACKED, NEAR COOLER.",,,102568
EVC-0229025f486bb9e8,dev,1,1,SCREW BEHIND OIL TUBE FILTER LOOSE.,,,106078
EVC-0230e8570ffec9fa,dev,1,1,DING IN COMPRESSOR FIRST STAGE BLADE.,,,103213
EVC-02533246814ed1bc,train,1,1,CRACK AT FWD BAFFLE BY HEAT INLET.,,,104089
EVC-028bd9aa88b2c84f,train,1,1,BAFFLE ABOVE #1 CYL REQUIRES PATCH.,,,102892
EVC-02a1e5c449b0a790,train,1,1,LEFT REAR BAFFLE CRACKED ON R/H ENGINE.,,,101316
EVC-0322e8f0fd5210b5,train,1,1,CYL #4 COMPRESSION IS 30/80.,,,101093
EVC-033c68947d20ae0a,train,1,1,"R/H #1, 3 OIL RETURN LINES LOOSE.",,,105119
EVC-034b824919524a75,train,1,1,#1-3 BAFFLE TIE WIRE BROKEN.,,,105658
EVC-038766a1f2f267a5,train,1,1,"DEPARTING 17L @ 2450 LBS, DURING CLIMB OUT @ 2000' MSL, WERE",,,103620
EVC-03b18ca16c6838cb,train,1,1,EXCESSIVE FREE PLAY NOTED BETWEEN PILOT & COPILOT YOKES W/ A,,,103901
EVC-04400f96ee298ac8,test,1,1,L/H BAFFLE BUTTON PLUG IS BROKEN.,,,101765
EVC-048cb417be7cbdd8,test,1,1,OIL COOLER TIMED OUT.,,,103725
EVC-04b8d6441973be48,train,1,1,L/H ENG SNIFFLER VALVE HOSE ADEL CLAMP RUBBER IS WORN OUT.,,,101539
EVC-04bdf67352a21212,test,1,1,SCREW MISSING ON #2 CYL BAFFLE & STAND OFF.,,,104847
EVC-04f6bb63ad8d98c7,dev,1,1,GROUNDING POINTS ON ENG & FIREWALL LOOSE.,,,106091
EVC-04f9e69f63ce6266,test,1,1,BAFFLE SCREW MISSING AT FRONT OF #2 CYL.,,,101018
EVC-04fe25c8edadb5de,dev,1,1,"#4 CYL BAFFLING ON L/H ENGINE, CRACKED ON ANGLE BRACKETS.",,,102940
EVC-04ff2c2cfe7a9d64,train,1,1,RIGHT ENG #4 INTAKE IS LEAKING.,,,101077
EVC-052feb4f3efef108,test,1,1,"AFTER LANDING, BROUGHT POWER TO IDLE, RPM GOT AS LOW AS 530,",,,105893
EVC-0541b2f8e5a6f6a8,test,1,1,"AFTER ENGINE START, ENGINE WAS RUNNING ROUGH BELOW 1000 RPM.",,,105158
EVC-05c1445782fdada7,test,1,1,BACKBONE OF ENG BAFFLING NEEDS TO BE SEALED.,,,104311
EVC-05e25e4a5911ace6,test,1,1,"AFT ENGINE BAFFLE BY CYL #3, SUPPORT SECURED TO ENGINE CASE",,,101405
EVC-05ffa440489f1f19,dev,1,1,L/H BOTTOM OF OIL COOLER NEEDS TO BE SEALED UP.,,,105409
EVC-0631f903a7cb4280,train,1,1,LEFT BAFFLE INNER TIE WIRE MISROUTED.,,,104048
EVC-0640aebdb5a5e05f,train,1,1,BOTH BAFFLE PLUGS ARE MISSING TOO MANY TABS.,,,101205
EVC-06627c66a5311a1c,train,1,1,ALL CYL DRAIN LINE B' NUTS ARE LOOSE.,,,103056
EVC-06c9901c6c0f3d21,train,1,1,BAFFLE SUPPORT STEEL ROD CYL #2 & 4 MISSING.,,,101294
EVC-06d5afa6a8f853f5,train,1,1,TOP L/H BAFFLE HAS A CRACK.,,,100043
EVC-0723c6528118fc46,dev,1,1,L/H ENG BREATHER LINE KINKED.,,,103200
EVC-07831d8d00109dcf,dev,1,1,#2 EXHAUST DRY LIFTER CLEARANCE IS TOO TIGHT.,,,100694
EVC-07ba73d0bbb3ad04,dev,1,1,"ENG FWD LWR BLACK SEAL HAS WORN SPOTS, ABOVE AIR INTAKE.",,,106143
EVC-07bc7982ee645810,dev,1,1,WIRING BETWEEN #2 - 4 UNSUPPORTED.,,,103321
EVC-07c4be7756e7576b,test,1,1,R/H ENG #3 BAFFLE SEAL SECTION LOOSE.,,,103559
EVC-07fdca3cc2c2dbfc,train,1,1,"#2 ROCKER COVER LEAKS, R/H ENG.",,,102929
EVC-0833af1040f0db30,train,1,1,BAFFLE BY STARTER WORN THROUGH & CRACKED.,,,104872
EVC-0836e823df739282,train,1,1,#2 ROCKER ARM COVER LEAKING.,,,102926
EVC-083a921b0974dbb2,train,1,1,R/H FUEL TOP ENGINE BAFFLE SEAL NEEDS TO BE SECURED.,,,103066
EVC-0846d1037b7600a0,train,1,1,L/H ENG HAS ALL 4 ROCKER GASKETS LEAKING.,,,100606
EVC-0884fae7aa94fee2,train,1,1,"L/H & R/H ENG FIREWALLS NEED TO BE SEALED, WHERE ENG CONTROL",,,103769
EVC-089cea230d4e87df,train,1,1,"BAFFLE SEAL TORN, BOTTOM R/H SIDE.",,,102455
EVC-08b9b8ffad7e6485,train,1,1,PROP OVERSPEED 2770 FOR 3+ SECONDS.,,,104510
EVC-08c9c8dd4644cdab,train,1,1,CYL #4 BAFFLE HOLE/PLUG WORN.,,,103490
EVC-08cf984a090367a4,dev,1,1,L/H ENG BAFFLE TIE ROD IS RUBBING ON #2 OIL RETURN LINE CLAM,,,103720
EVC-08e8fe8af1dd5d12,dev,1,1,#4 CYLINDER BAFFLE SECTION DAMAGED.,,,105068
EVC-09368a301c479118,train,1,1,TOP ENGINE COOLING FAN BAFFLE PLUGS WORN OUT.,,,102186
EVC-09645c7fd7e0ba69,train,1,1,FWD LOWER ENGINE BAFFLE CRACKED.,,,101783
EVC-09706de2285f699d,test,1,1,ENGINE OVER RIDE SPEED WAS 1225 RPM.,,,101430
EVC-09ab88bbbfe6eb08,train,1,1,R/H ENG #2 CYL ROCKER COVER GASKET IS SPLIT.,,,100689
EVC-0a73fa5158f09198,train,1,1,R/H BAFFLE SPRING IS DISCONNECTED.,,,102439
EVC-0ac56920167b2ca0,dev,1,1,PILOT COULDN'T REMOVE DIPSTICK.,,,100670
EVC-0b3c46fc2124c2cf,train,1,1,IMPELLER MAKING CONTACT W/ SCROLL.,,,101421
EVC-0b42ee14b6193e14,dev,1,1,R/H AFT BAFFLE BRACKET HAS BROKEN RIVETS.,,,105241
EVC-0bb22642b6c37cc6,train,1,1,"#2 INTAKE LEAK, L/H ENGINE.",,,105594
EVC-0bea24124dcfec06,train,1,1,"L/H ENGINE BAFFLE SNAP PLUG HOLE WORN, R/H SIDE ALSO.",,,102550
EVC-0c2c39213cb34952,train,1,1,R/H ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.,,,100142
EVC-0c6854ba804f64fa,train,1,1,#2 CHT FITTING NEEDS TO BE REPLACED.,,,103133
EVC-0c7f0567479a28cd,train,1,1,#4 CYL HAD LOW COMPRESSION (50 LBS).,,,104211
EVC-0c85a388bd2081e4,test,1,1,"OIL LEAK AT R/H ENGINE BACK BONE, AFT BOLT.",,,105596
EVC-0caed1c665d2e7c8,train,1,1,"RAN ENGINE START CKLIST 3 TIMES, TRIED COLD START CKLIST 2 T",,,100718
EVC-0cb4ee06795edd25,dev,1,1,LEFT FRONT BAFFLING HAS A CRACK.,,,104816
EVC-0cbf3facbae770f1,train,1,1,FWD L/H BAFFLE ANTI-CHAFE STRIP FELL OFF.,,,101383
EVC-0cbfa6a2b96f0f79,dev,1,1,R/H SIDE AFT BAFFLE SEAL RIVET PULLED THRU.,,,103864
EVC-0d145585b617b446,train,1,1,"L/H ENG, L/H BAFFLE TIE ROD DAMAGED.",,,102218
EVC-0d2096ccc3b6cfd8,train,1,1,#3 CYL BAFFLE BRACKET RIVETS ARE LOOSE ON BACK SIDE OF BAFFL,,,100918
EVC-0d29f5db57ee7ca6,train,1,1,"FAULTY MAG ON RUN UP, RAN FAULTY MAG CK LIST 2 TIMES W/ SOME",,,106015
EVC-0d3729afea13dc8b,train,1,1,"FRONT BAFFLE BY INTAKE HEAT, AROUND MUFFLER SHROUD, IS CRACK",,,100825
EVC-0d5541708bf58388,dev,1,1,RIVETS PULLED THRU AT AFT BAFFLE CENTER.,,,105512
EVC-0d934c2dc939e26e,train,1,1,2 & 4 CYL INNER BAFFLE CONNECTOR ROD IS BROKEN.,,,103251
EVC-0d951700b9f8c425,train,1,1,OIL COOLER HAS A GAP FROM COWLING & BOX ON BOTTOM.,,,101851
EVC-0db992cefbe3dfe7,train,1,1,FOD ON SIDE BATTERY CASE (ZIP TIE TAPED TO SIDE),,,106029
EVC-0dd884cce0008df4,train,1,1,ALL INTAKE TUBE GASKETS LEAKING.,,,105511
EVC-0ddde99d52754b90,dev,1,1,R/H CYL COOLING BAFFLE CONTACTING OIL RETURN LINE.,,,101944
EVC-0df361447e76215d,train,1,1,#2 CYL INTAKE TUBE BOLT BROKEN.,,,105887
EVC-0df47656b4cb42dd,train,1,1,"BAFFLE BY CASE SPLIT, CRACKED.",,,105905
EVC-0e17863286cb7e04,train,1,1,R/H ENG #4 CYL BAFFLE SEAL IS TEARING OFF.,,,101618
EVC-0e386cb51cca2339,test,1,1,L/H REAR BAFFLE MOUNT IS LOOSE.,,,100852
EVC-0eaaf80bf4238bee,train,1,1,FWD CENTER ENG BAFFLE CRACKED.,,,101947
EVC-0ec0285075d078a0,train,1,1,"2 POP RIVETS LOOSE ON BAFFLE, AFT OF #4 CYL.",,,104424
EVC-0f121f056f87e8f1,dev,1,1,R/H BAFFLE PLUG HOLE NEEDS DOUBLER.,,,104890
EVC-0f163ee8f34779a6,train,1,1,CRACK IN RIGHT FRONT BAFFLE.,,,100614
EVC-0f2ea845c642ee65,test,1,1,ALL CYLINDER ROCKER COVERS SCREWS ARE LOOSE.,,,106033
EVC-0f355b1b5c9bfd6d,train,1,1,#3 CYL SIDE BAFFLE HAS LOOSE HARDWARE.,,,102588
EVC-0f4fc1ba49a349a0,train,1,1,REAR BAFFLE BRACKET AT ENGINE CENTER BROKEN AT BOLT.,,,101658
